"Cell line","Culture","Pool","Dose","Vehicle","log2-fold change","Viability"
"SNB75_CENTRAL_NERVOUS_SYSTEM","PR500","P110","0.5556","DMSO","-1.14","0.453"
"NCIH1048_LUNG","PR500","P115","45","DMSO","-1.01","0.495"
"G292CLONEA141B1_BONE","PR500","P108","15","DMSO","-0.964","0.513"
"NCIH1581_LUNG","PR500","P106","0.5556","DMSO","-0.915","0.53"
"OAW42_OVARY","PR500","P108","1.667","DMSO","-0.914","0.531"
"HT1080_SOFT_TISSUE","PR500","P102","45","DMSO","-0.889","0.54"
"SW780_URINARY_TRACT","PR500","P109","0.5556","DMSO","-0.885","0.542"
"TOV112D_OVARY","PR500","P102","0.5556","DMSO","-0.876","0.545"
"NCIH841_LUNG","PR500","P118","0.5556","DMSO","-0.851","0.554"
"CL34_LARGE_INTESTINE","PR500","P115","0.5556","DMSO","-0.837","0.56"
"SKMEL2_SKIN","PR500","P119","0.5556","DMSO","-0.794","0.577"
"MESSA_SOFT_TISSUE","PR500","P107","45","DMSO","-0.792","0.578"
"TOV112D_OVARY","PR500","P102","45","DMSO","-0.785","0.58"
"PC3_PROSTATE","PR500","P113","0.5556","DMSO","-0.786","0.58"
"MFE296_ENDOMETRIUM","PR500","P105","45","DMSO","-0.777","0.584"
"HCT15_LARGE_INTESTINE","PR500","P104","45","DMSO","-0.761","0.59"
"YH13_CENTRAL_NERVOUS_SYSTEM","PR500","P108","0.5556","DMSO","-0.734","0.601"
"MIAPACA2_PANCREAS","PR500","P101","0.5556","DMSO","-0.725","0.605"
"HEC1A_ENDOMETRIUM","PR500","P107","0.5556","DMSO","-0.719","0.608"
"MESSA_SOFT_TISSUE","PR500","P107","15","DMSO","-0.714","0.61"
"639V_URINARY_TRACT","PR500","P104","0.5556","DMSO","-0.703","0.614"
"A172_CENTRAL_NERVOUS_SYSTEM","PR500","P105","1.667","DMSO","-0.703","0.614"
"LS411N_LARGE_INTESTINE","PR500","P111","0.5556","DMSO","-0.697","0.617"
"MKN45_STOMACH","PR500","P113","0.5556","DMSO","-0.678","0.625"
"MKN7_STOMACH","PR500","P115","0.5556","DMSO","-0.665","0.631"
"PECAPJ49_UPPER_AERODIGESTIVE_TRACT","PR500","P116","0.5556","DMSO","-0.664","0.631"
"HCC38_BREAST","PR500","P117","15","DMSO","-0.657","0.634"
"NCIH2444_LUNG","PR500","P120","0.5556","DMSO","-0.657","0.634"
"IGROV1_OVARY","PR500","P104","1.667","DMSO","-0.655","0.635"
"KELLY_AUTONOMIC_GANGLIA","PR500","P103","15","DMSO","-0.652","0.636"
"NCIH1355_LUNG","PR500","P110","5","DMSO","-0.653","0.636"
"SNU466_CENTRAL_NERVOUS_SYSTEM","PR500","P116","1.667","DMSO","-0.651","0.637"
"ISTMES1_PLEURA","PR500","P120","0.5556","DMSO","-0.651","0.637"
"SKNEP1_BONE","PR500","P116","45","DMSO","-0.65","0.637"
"NCIH2347_LUNG","PR500","P119","0.5556","DMSO","-0.645","0.64"
"HSC2_UPPER_AERODIGESTIVE_TRACT","PR500","P109","0.5556","DMSO","-0.637","0.643"
"MFE319_ENDOMETRIUM","PR500","P118","1.667","DMSO","-0.632","0.645"
"SKMEL30_SKIN","PR500","P114","0.5556","DMSO","-0.63","0.646"
"CAMA1_BREAST","PR500","P113","15","DMSO","-0.627","0.648"
"RVH421_SKIN","PR500","P114","0.5556","DMSO","-0.625","0.649"
"LOXIMVI_SKIN","PR500","P104","0.5556","DMSO","-0.62","0.651"
"NB1_AUTONOMIC_GANGLIA","PR500","P105","0.5556","DMSO","-0.62","0.651"
"GCIY_STOMACH","PR500","P105","15","DMSO","-0.613","0.654"
"PLCPRF5_LIVER","PR500","P108","0.5556","DMSO","-0.609","0.656"
"SNU81_LARGE_INTESTINE","PR500","P117","15","DMSO","-0.609","0.656"
"CORL105_LUNG","PR500","P112","15","DMSO","-0.601","0.659"
"NCIH1568_LUNG","PR500","P115","0.5556","DMSO","-0.6","0.66"
"SW1088_CENTRAL_NERVOUS_SYSTEM","PR500","P116","15","DMSO","-0.599","0.66"
"NCIH2126_LUNG","PR500","P118","1.667","DMSO","-0.596","0.662"
"TE8_OESOPHAGUS","PR500","P104","15","DMSO","-0.588","0.665"
"KYSE140_OESOPHAGUS","PR500","P118","0.5556","DMSO","-0.585","0.667"
"OAW42_OVARY","PR500","P108","0.5556","DMSO","-0.581","0.668"
"SW1271_LUNG","PR500","P117","0.5556","DMSO","-0.58","0.669"
"LI7_LIVER","PR500","P102","0.5556","DMSO","-0.578","0.67"
"NCIH1581_LUNG","PR500","P106","45","DMSO","-0.579","0.67"
"NCIH1648_LUNG","PR500","P110","0.5556","DMSO","-0.575","0.671"
"NCIH28_PLEURA","PR500","P111","0.5556","DMSO","-0.575","0.671"
"J82_URINARY_TRACT","PR500","P108","0.5556","DMSO","-0.569","0.674"
"KP2_PANCREAS","PR500","P109","0.5556","DMSO","-0.57","0.674"
"MFE280_ENDOMETRIUM","PR500","P114","0.5556","DMSO","-0.565","0.676"
"RMGI_OVARY","PR500","P103","0.5556","DMSO","-0.563","0.677"
"KU1919_URINARY_TRACT","PR500","P104","1.667","DMSO","-0.563","0.677"
"SW480_LARGE_INTESTINE","PR500","P108","0.5556","DMSO","-0.56","0.678"
"OE33_OESOPHAGUS","PR500","P109","0.5556","DMSO","-0.559","0.679"
"CALU1_LUNG","PR500","P106","0.5556","DMSO","-0.556","0.68"
"KYSE150_OESOPHAGUS","PR500","P105","0.5556","DMSO","-0.548","0.684"
"OE19_OESOPHAGUS","PR500","P111","0.5556","DMSO","-0.547","0.684"
"MON_SOFT_TISSUE","PR500","P118","0.5556","DMSO","-0.546","0.685"
"SH4_SKIN","PR500","P111","0.5556","DMSO","-0.545","0.685"
"SNU308_BILIARY_TRACT","PR500","P118","45","DMSO","-0.541","0.687"
