ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,XPR_GPX4,qval_S.emp.onlyAntagonism,qval_S.emp,is_antagonistic,antagonism_count_across_doses
143B_BONE,ACH-001001,ML210,ferrostatin-1,0.01372,10,1,0.927103076049804,1,1.44857835299069,0.927103076049804,1.10731342804544,-0.0728969239501961,-0.109198347148873,0.927103076049804,0.927103076049804,-0.71179180437251,0.3431,0.6862,0,4
143B_BONE,ACH-001001,ML210,ferrostatin-1,0.04115,10,1,0.927103076049804,0.9292944245707,1.02378471823883,0.927103076049804,0.9292944245707,-0.00219134852089664,-0.00340600449128588,0.927103076049804,0.927103076049804,-0.71179180437251,0.5691,1.1382,0,4
143B_BONE,ACH-001001,ML210,ferrostatin-1,0.1235,10,1,0.927103076049804,0.987615296637558,1.20242810583346,0.927103076049804,0.987615296637558,-0.0605122205877537,-0.0912194340360928,0.927103076049804,0.927103076049804,-0.71179180437251,0.3954,0.7908,0,4
143B_BONE,ACH-001001,ML210,ferrostatin-1,0.3704,10,0.76185775689176,0.927103076049804,1,0.76185775689176,0.927103076049804,1.06784344266606,-0.23814224310824,-0.392406431267078,0.706320669926754,0.76185775689176,-0.71179180437251,0.0605,0.121,1,4
143B_BONE,ACH-001001,ML210,ferrostatin-1,1.111,10,0.720913022946176,0.927103076049804,1,0.720913022946176,0.927103076049804,1.05937552415542,-0.279086977053824,-0.472102883872702,0.668360681137762,0.720913022946176,-0.71179180437251,0.0283,0.0566,1,4
143B_BONE,ACH-001001,ML210,ferrostatin-1,10,10,0.458410614074018,0.927103076049804,0.952913862566592,0.458410614074018,0.927103076049804,0.952913862566592,-0.494503248492574,-1.05570536069898,0.424993890401901,0.458410614074018,-0.71179180437251,0,0,1,4
143B_BONE,ACH-001001,ML210,ferrostatin-1,3.333,10,0.562787497927343,0.927103076049804,0.876426162126011,0.562787497927343,0.927103076049804,0.876426162126011,-0.313638664198667,-0.639042270638053,0.521762020490813,0.562787497927343,-0.71179180437251,0.0161,0.0322,1,4
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,0.01372,10,1,0.963193631374548,0.728541697698494,1.09041509501902,0.963193631374548,0.728541697698494,0.234651933676054,0.402814306505786,0.963193631374548,0.963193631374548,NA,0.9633,0.0733999999999999,0,4
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,0.04115,10,0.762321747652406,0.963193631374548,1,0.762321747652406,0.963193631374548,1.00215138205908,-0.237678252347594,-0.39152806072334,0.734263452397113,0.762321747652406,NA,0.084,0.168,1,4
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,0.1235,10,0.878410290858976,0.963193631374548,0.913202891120834,0.878410290858976,0.963193631374548,0.913202891120834,-0.0347926002618585,-0.0560404709383561,0.84607919788923,0.878410290858976,NA,0.471,0.942,0,4
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,0.3704,10,0.625019076414214,0.963193631374548,0.853464589125843,0.625019076414214,0.963193631374548,0.853464589125843,-0.22844551271163,-0.449431072595531,0.602014393889773,0.625019076414214,NA,0.0973,0.1946,1,4
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,1.111,10,0.600690119695302,0.963193631374548,0.769156440837047,0.600690119695302,0.963193631374548,0.769156440837047,-0.168466321141746,-0.356656127489048,0.57858089772013,0.600690119695302,NA,0.1566,0.3132,0,4
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,10,10,0.206187100631442,0.963193631374548,0.594015434312854,0.206187100631442,0.963193631374548,0.594015434312854,-0.387828333681412,-1.52654633867859,0.198598102199788,0.206187100631442,NA,0.0161,0.0322,1,4
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,3.333,10,0.271751347266174,0.963193631374548,0.633212597027229,0.271751347266174,0.963193631374548,0.633212597027229,-0.361461249761055,-1.22040276875486,0.261749167004232,0.271751347266174,NA,0.0169,0.0338,1,4
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,0.01372,10,1,1,0.97257211013067,1.25550185645329,1.21629016656441,0.97257211013067,0.0274278898693296,0.0401228740213085,1,1,-1.46714586814976,0.7642,0.4716,0,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,0.04115,10,1,1,0.768988880095143,1.33103270232725,1.21629016656441,0.768988880095143,0.231011119904857,0.378965358530668,1,1,-1.46714586814976,0.9403,0.1194,0,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,0.1235,10,0.83462792897365,1,0.75756220030368,0.83462792897365,1.21629016656441,0.75756220030368,0.0770657286699706,0.139768850820321,0.83462792897365,0.83462792897365,-1.46714586814976,0.8233,0.3534,0,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,0.3704,10,0.950583655891982,1,1,0.950583655891982,1.21629016656441,1.30098199291812,-0.0494163441080179,-0.0731144983873351,0.950583655891982,0.950583655891982,-1.46714586814976,0.4886,0.9772,0,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,1.111,10,0.830840282155558,1,0.688511777325788,0.830840282155558,1.21629016656441,0.688511777325788,0.142328504829769,0.271089832410257,0.830840282155558,0.830840282155558,-1.46714586814976,0.8864,0.2272,0,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,10,10,1,1,0.839128349067695,1.18006823215791,1.21629016656441,0.839128349067695,0.160871650932305,0.253036599595929,1,1,-1.46714586814976,0.9042,0.1916,0,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,3.333,10,0.913171301045294,1,1,0.913171301045294,1.21629016656441,1.30688837209838,-0.0868286989547056,-0.131042575327202,0.913171301045294,0.913171301045294,-1.46714586814976,0.4106,0.8212,0,0
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,0.01372,10,0.792558697952159,0.642582936242692,1,0.792558697952159,0.642582936242692,1.07573052316301,-0.357417063757308,-0.638045424263076,0.509284695274783,0.642582936242692,0.2848912184671,0.1656,0.3312,0,0
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,0.04115,10,1,0.642582936242692,0.891437831719817,1.03235555413214,0.642582936242692,0.891437831719817,-0.248854895477124,-0.472251518143646,0.642582936242692,0.642582936242692,0.2848912184671,0.2691,0.5382,0,0
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,0.1235,10,1,0.642582936242692,0.711145206466355,1.15455734840449,0.642582936242692,0.711145206466355,-0.068562270223663,-0.146261498587565,0.642582936242692,0.642582936242692,0.2848912184671,0.5029,1.0058,0,0
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,0.3704,10,0.804376440549226,0.642582936242692,0.473057442780016,0.804376440549226,0.642582936242692,0.473057442780016,0.0438211322325506,0.127810023904113,0.516878575012567,0.642582936242692,0.2848912184671,0.7567,0.4866,0,0
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,1.111,10,1,0.642582936242692,0.537723318350741,1.23660867569338,0.642582936242692,0.537723318350741,0.104859617891952,0.257018635240144,0.642582936242692,0.642582936242692,0.2848912184671,0.7995,0.401,0,0
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,10,10,1,0.642582936242692,1,1.04582420142915,0.642582936242692,1.06563034611633,-0.357417063757308,-0.638045424263076,0.642582936242692,0.642582936242692,0.2848912184671,0.1656,0.3312,0,0
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,3.333,10,0.764815583048513,0.642582936242692,0.913567127077407,0.764815583048513,0.642582936242692,0.913567127077407,-0.270984190834714,-0.507628068456884,0.49145744303948,0.642582936242692,0.2848912184671,0.2611,0.5222,0,0
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,0.01372,10,1,1,0.94391097594274,1.33291687412655,1.08160248251242,0.94391097594274,0.05608902405726,0.0832772952815274,1,1,NA,0.8325,0.335,0,3
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,0.04115,10,0.93726643928354,1,1,0.93726643928354,1.08160248251242,1.11537392490513,-0.0627335607164605,-0.0934688698502893,0.93726643928354,0.93726643928354,NA,0.3748,0.7496,0,3
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,0.1235,10,0.769567266693959,1,1,0.769567266693959,1.08160248251242,1.03074183366201,-0.230432733306041,-0.377880659062433,0.769567266693959,0.769567266693959,NA,0.077,0.154,1,3
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,0.3704,10,0.734500469296419,1,0.940367386731986,0.734500469296419,1.08160248251242,0.940367386731986,-0.205866917435566,-0.35646109259162,0.734500469296419,0.734500469296419,NA,0.1019,0.2038,0,3
253JBV_URINARY_TRACT,ACH-000026,ML210,ferrostatin-1,1.111,10,0.846363973090904,1,1,0.846363973090904,1.08160248251242,1.00800041069776,-0.153636026909096,-0.240649876874572,0.846363973090904,0.846363973090904,NA,0.1789,0.3578,0,3
