x,rho,beta,p.val,n,ns,feature.set,feature,q.val,y,detected_count,neg_log10_qval
CN_OR2T29,0.138868254579118,0.151200149483848,0.000519615047009758,621,25,CN,OR2T29,0.0878891736656505,temozolomide::O6-benzylguanine::100::5,2,1.05606461874698
CN_CASC19,0.139591637696976,0.074140492546342,0.000485389924197402,621,24,CN,CASC19,0.0878891736656505,temozolomide::O6-benzylguanine::100::5,1,1.05606461874698
CN_PCAT1,0.141847783011539,0.0805211442023194,0.000391645576735895,621,27,CN,PCAT1,0.0772847271425499,temozolomide::O6-benzylguanine::100::5,1,1.11190632203332
CN_POU5F1B,0.146226032990778,0.0712324901199326,0.000255918890641778,621,26,CN,POU5F1B,0.0752586771999688,temozolomide::O6-benzylguanine::100::5,1,1.12344341941774
CN_CASC8,0.14420228820772,0.0703639109612802,0.000312006944296391,621,27,CN,CASC8,0.0752586771999688,temozolomide::O6-benzylguanine::100::5,1,1.12344341941774
CN_CCAT2,0.143028587807369,0.0701065336510994,0.000349596895776882,621,27,CN,CCAT2,0.0752586771999688,temozolomide::O6-benzylguanine::100::5,1,1.12344341941774
CN_MIR1208,0.143775458595352,0.0764562584605107,0.000325217249428698,621,21,CN,MIR1208,0.0752586771999688,temozolomide::O6-benzylguanine::100::5,2,1.12344341941774
CN_MIR1207,0.152427720647813,0.076315053540955,0.000137217888667051,621,26,CN,MIR1207,0.0464188514805109,temozolomide::O6-benzylguanine::100::5,1,1.33330560928827
CN_MIR1206,0.160139196228891,0.0785977127884284,6.11042070508829e-05,621,27,CN,MIR1206,0.0241157937160818,temozolomide::O6-benzylguanine::100::5,1,1.61769843969931
CN_TMEM75,0.165006539971411,0.0794379174897819,3.59599313534864e-05,621,29,CN,TMEM75,0.021187471496517,temozolomide::O6-benzylguanine::100::5,1,1.67392086870836
CN_MIR1205,0.163018390353544,0.0786347883425138,4.47370597477132e-05,621,29,CN,MIR1205,0.021187471496517,temozolomide::O6-benzylguanine::100::5,1,1.67392086870836
CN_MIR1204,0.185112928448947,0.0781941736029029,3.41910188429305e-06,621,36,CN,MIR1204,0.00269881108733531,temozolomide::O6-benzylguanine::100::5,1,2.56882751433168
CN_MYC,0.195827348117252,0.074343331112931,8.74985012207294e-07,621,40,CN,MYC,0.00103598225445344,temozolomide::O6-benzylguanine::100::5,3,2.98464768364383
CN_CASC11,0.196543494805693,0.0756482896583707,7.96609571703869e-07,621,42,CN,CASC11,0.00103598225445344,temozolomide::O6-benzylguanine::100::5,3,2.98464768364383
EXP_DNPEP,-0.177952950602721,-0.0386025109957598,8.01095080006463e-06,622,37,EXP,DNPEP,0.0912723971639337,temozolomide::O6-benzylguanine::0.1372::5,2,1.03966054307786
EXP_RUFY1,-0.175423236923744,-0.0398898225761511,1.08046637660768e-05,622,40,EXP,RUFY1,0.0912723971639337,temozolomide::O6-benzylguanine::0.1372::5,3,1.03966054307786
EXP_PROM2,-0.088008284680387,-0.0101379556724588,0.0281804414494289,622,23,EXP,PROM2,0.0998131149450946,temozolomide::O6-benzylguanine::100::5,2,1.00081239083615
EXP_NTAQ1,0.0880221371683582,0.0338963425565201,0.028155560887169,622,13,EXP,NTAQ1,0.0997459008573539,temozolomide::O6-benzylguanine::100::5,4,1.00110494297566
EXP_MED28,0.0880297464792915,0.0311490917638386,0.0281419017821096,622,16,EXP,MED28,0.099728603090697,temozolomide::O6-benzylguanine::100::5,4,1.00118026412677
EXP_TMEM108,0.0880390531149114,0.0221989243720876,0.0281252036369876,622,10,EXP,TMEM108,0.099728603090697,temozolomide::O6-benzylguanine::100::5,4,1.00118026412677
EXP_JAM3,0.0880432774977487,0.0112578916114799,0.0281176269791028,622,19,EXP,JAM3,0.099728603090697,temozolomide::O6-benzylguanine::100::5,4,1.00118026412677
EXP_PHLDA3,-0.0880304930251489,-0.0121023814077221,0.0281405620007759,622,15,EXP,PHLDA3,0.099728603090697,temozolomide::O6-benzylguanine::100::5,2,1.00118026412677
EXP_BLOC1S3,-0.0880281453881189,-0.0423622923813939,0.0281447753498931,622,19,EXP,BLOC1S3,0.099728603090697,temozolomide::O6-benzylguanine::100::5,3,1.00118026412677
EXP_CRACDL,-0.0880342415706683,-0.0165870724297267,0.0281338355385947,622,27,EXP,CRACDL,0.099728603090697,temozolomide::O6-benzylguanine::100::5,2,1.00118026412677
EXP_WDR76,0.0880633190424489,0.0245548087857273,0.028081705297599,622,16,EXP,WDR76,0.0996304937007422,temozolomide::O6-benzylguanine::100::5,3,1.00160771760952
EXP_FLAD1,0.0880662765725822,0.037712071339458,0.0280764076786419,622,17,EXP,FLAD1,0.0996304937007422,temozolomide::O6-benzylguanine::100::5,3,1.00160771760952
EXP_AGAP5,0.0880696691617522,0.0317119087634794,0.0280703318267753,622,18,EXP,AGAP5,0.0996304937007422,temozolomide::O6-benzylguanine::100::5,3,1.00160771760952
EXP_COPS9,-0.0881000391083271,-0.0336960241590123,0.0280159920570787,622,19,EXP,COPS9,0.0994600096247835,temozolomide::O6-benzylguanine::100::5,3,1.00235150307695
EXP_DAB1,0.0881081473341673,0.0279083239265854,0.0280014996301927,622,5,EXP,DAB1,0.0994294527642088,temozolomide::O6-benzylguanine::100::5,3,1.00248495083106
EXP_OSCP1,-0.0881154863314596,-0.027445648728029,0.0279883876605791,622,16,EXP,OSCP1,0.0994037858998285,temozolomide::O6-benzylguanine::100::5,1,1.00259707471643
EXP_CREBZF,0.0881245110706784,0.0279614450416129,0.0279722711560135,622,21,EXP,CREBZF,0.0994037858998285,temozolomide::O6-benzylguanine::100::5,4,1.00259707471643
EXP_ZNF135,0.0881184085198329,0.0253340353106387,0.027983168302075,622,12,EXP,ZNF135,0.0994037858998285,temozolomide::O6-benzylguanine::100::5,3,1.00259707471643
EXP_SAPCD1,0.0881207308560013,0.021880127618798,0.0279790209442886,622,15,EXP,SAPCD1,0.0994037858998285,temozolomide::O6-benzylguanine::100::5,3,1.00259707471643
EXP_SAP130,0.0881418947688348,0.0393521930124363,0.027941249597205,622,18,EXP,SAP130,0.0993198846927791,temozolomide::O6-benzylguanine::100::5,4,1.00296379331923
EXP_IRF2BP1,0.088159165972161,0.0300296435311994,0.027910458091909,622,18,EXP,IRF2BP1,0.0992456653021522,temozolomide::O6-benzylguanine::100::5,3,1.0032884525897
EXP_C20orf204,0.0881569004228379,0.0360813111116922,0.0279144955025645,622,13,EXP,C20orf204,0.0992456653021522,temozolomide::O6-benzylguanine::100::5,3,1.0032884525897
EXP_PLEKHS1,-0.0881787793006487,-0.019126244945273,0.0278755263824898,622,16,EXP,PLEKHS1,0.0991488459436138,temozolomide::O6-benzylguanine::100::5,2,1.00371233645855
EXP_GPR1,-0.0881938192397658,-0.0160073662047005,0.0278487654441919,622,16,EXP,GPR1,0.0990787214576581,temozolomide::O6-benzylguanine::100::5,3,1.00401960631982
EXP_YJEFN3,0.0881931551420054,0.0217919281853105,0.0278499466234045,622,20,EXP,YJEFN3,0.0990787214576581,temozolomide::O6-benzylguanine::100::5,4,1.00401960631982
EXP_RPS8,0.0882043001867344,0.0381948792678927,0.0278301295015661,622,15,EXP,RPS8,0.0990499342593132,temozolomide::O6-benzylguanine::100::5,2,1.00414580837205
EXP_MTSS1,0.0882119227565669,0.0147313742780789,0.0278165827150941,622,13,EXP,MTSS1,0.0990225800614232,temozolomide::O6-benzylguanine::100::5,3,1.00426576219115
EXP_PCNX1,0.0882194172040089,0.0337017612826269,0.0278032691570314,622,15,EXP,PCNX1,0.0989960447646038,temozolomide::O6-benzylguanine::100::5,5,1.00438215662691
EXP_FOSL1,-0.0882242591653905,-0.00934237508172582,0.0277946705392242,622,17,EXP,FOSL1,0.098986289789248,temozolomide::O6-benzylguanine::100::5,2,1.00442495369748
EXP_ZNF646,0.0882475386687821,0.0342868064868272,0.0277533614626639,622,16,EXP,ZNF646,0.09886001305328,temozolomide::O6-benzylguanine::100::5,4,1.00497933653186
EXP_H2AC12,0.088250968168835,0.0488390786709938,0.0277472803395073,622,12,EXP,H2AC12,0.0988591947144612,temozolomide::O6-benzylguanine::100::5,2,1.0049829315294
EXP_IRAK3,0.0882544697667831,0.0218107266545202,0.0277410725563999,622,10,EXP,IRAK3,0.0988579246657618,temozolomide::O6-benzylguanine::100::5,1,1.00498851096677
EXP_SPTBN5,-0.0882643942841449,-0.0388952473320503,0.027723484437536,622,20,EXP,SPTBN5,0.0988160906270402,temozolomide::O6-benzylguanine::100::5,4,1.00517233171242
EXP_MUC20,-0.0882742713388777,-0.0111513931542839,0.027705989956296,622,26,EXP,MUC20,0.0987745727604179,temozolomide::O6-benzylguanine::100::5,2,1.00535484014
EXP_TBC1D24,0.088279557050619,0.0331943407782616,0.0276966316759323,622,17,EXP,TBC1D24,0.0987620498448452,temozolomide::O6-benzylguanine::100::5,3,1.00540990469529
EXP_EEF1AKNMT,0.0882940669046225,0.0359424776534839,0.0276709561549768,622,18,EXP,EEF1AKNMT,0.0986913245172753,temozolomide::O6-benzylguanine::100::5,4,1.00572102240505
EXP_ZNF691,0.0883297877891422,0.0416737571989016,0.0276078344697468,622,15,EXP,ZNF691,0.0984869855081022,temozolomide::O6-benzylguanine::100::5,4,1.00662115524297
EXP_PPWD1,0.0883485700437056,0.0369894433672057,0.0275746944352039,622,19,EXP,PPWD1,0.0983895380111448,temozolomide::O6-benzylguanine::100::5,3,1.00705107865795
EXP_MLXIPL,-0.0883665650414385,-0.0147086618381323,0.0275429755755811,622,18,EXP,MLXIPL,0.0982971213243436,temozolomide::O6-benzylguanine::100::5,3,1.00745920049196
EXP_HS3ST2,0.0883674744818501,0.0434977775227875,0.0275413733853808,622,3,EXP,HS3ST2,0.0982971213243436,temozolomide::O6-benzylguanine::100::5,4,1.00745920049196
EXP_C1orf131,0.0883928399452053,0.0371038210914882,0.0274967185398576,622,17,EXP,C1orf131,0.0981735122001046,temozolomide::O6-benzylguanine::100::5,3,1.00800567165348
EXP_PLXNB3,-0.088399739441366,-0.014840486641431,0.0274845830469548,622,20,EXP,PLXNB3,0.0981509259307338,temozolomide::O6-benzylguanine::100::5,3,1.00810559902158
EXP_HOXB8,-0.0884251960911729,-0.0137375885346234,0.0274398473267431,622,25,EXP,HOXB8,0.0980118859588426,temozolomide::O6-benzylguanine::100::5,2,1.00872125396745
EXP_H3C4,0.0884386084686478,0.0420355732422741,0.0274163025770056,622,14,EXP,H3C4,0.097948494827344,temozolomide::O6-benzylguanine::100::5,2,1.00900223341301
EXP_FAR2,-0.0884423579218366,-0.0152971729829928,0.0274097237122312,622,21,EXP,FAR2,0.0979457026476621,temozolomide::O6-benzylguanine::100::5,4,1.00901461385351
EXP_ZNF639,0.0884435296553831,0.0399531214402093,0.0274076680440244,622,15,EXP,ZNF639,0.0979457026476621,temozolomide::O6-benzylguanine::100::5,4,1.00901461385351
EXP_PAPSS2,-0.0884459312725939,-0.0118009257347544,0.0274034551047763,622,18,EXP,PAPSS2,0.0979457026476621,temozolomide::O6-benzylguanine::100::5,3,1.00901461385351
EXP_GPATCH8,0.0884552830843564,0.0383986982997006,0.0273870553798684,622,17,EXP,GPATCH8,0.0979268361148945,temozolomide::O6-benzylguanine::100::5,5,1.00909827674113
EXP_BRSK1,0.0884612809016635,0.0180409422538654,0.0273765418053911,622,17,EXP,BRSK1,0.0979099648183917,temozolomide::O6-benzylguanine::100::5,4,1.00917310548585
EXP_ZNF613,-0.0884688001508894,-0.032288597530113,0.0273633662202264,622,20,EXP,ZNF613,0.0978835638980997,temozolomide::O6-benzylguanine::100::5,1,1.00929022655869
EXP_VASP,-0.0884909464468991,-0.0265984253042225,0.027324592134852,622,16,EXP,VASP,0.097770578828203,temozolomide::O6-benzylguanine::100::5,3,1.00979181366709
EXP_XKR9,-0.088490145127716,-0.0274621545673153,0.027325994272079,622,20,EXP,XKR9,0.097770578828203,temozolomide::O6-benzylguanine::100::5,2,1.00979181366709
EXP_POR,-0.0885020139757231,-0.0283103994262189,0.0273052326594058,622,16,EXP,POR,0.0977376919026824,temozolomide::O6-benzylguanine::100::5,3,1.00993792114747
EXP_LY6H,0.088504632157404,0.0429698263325165,0.0273006546268321,622,7,EXP,LY6H,0.0977376919026824,temozolomide::O6-benzylguanine::100::5,3,1.00993792114747
EXP_MORN2,-0.0885023950745532,-0.025227563835768,0.0273045662463559,622,10,EXP,MORN2,0.0977376919026824,temozolomide::O6-benzylguanine::100::5,2,1.00993792114747
EXP_CYP4B1,-0.088512893933683,-0.0214970031812186,0.0272862127948632,622,13,EXP,CYP4B1,0.0977317288889576,temozolomide::O6-benzylguanine::100::5,3,1.00996441842716
EXP_LYPLAL1,0.0885318143205448,0.0195442532140646,0.0272531641658343,622,15,EXP,LYPLAL1,0.0976340561030046,temozolomide::O6-benzylguanine::100::5,1,1.01039866801193
EXP_TMOD3,-0.0885359497146656,-0.0278089234326359,0.0272459453783596,622,18,EXP,TMOD3,0.0976288965360307,temozolomide::O6-benzylguanine::100::5,3,1.01042161933409
EXP_LCE1C,0.0885366400710506,0.0753157974323825,0.0272447404453369,622,3,EXP,LCE1C,0.0976288965360307,temozolomide::O6-benzylguanine::100::5,3,1.01042161933409
EXP_BSG,-0.0885568381741034,-0.0330935719447684,0.0272095074144525,622,15,EXP,BSG,0.0975397045973212,temozolomide::O6-benzylguanine::100::5,1,1.0108185640197
