"","ccle_name","XPR_GPX4","culture","pert1","pert2","dose1","dose2","anchor.fitted","library.fitted","combination.fitted","S"
"1","NIHOVCAR3_OVARY",-0.65412347453078,"PR300","ML210","ferrostatin-1",0.01372,10,0.569471552391466,0.999787087976044,0.852438857793349,-0.282967305401883
"2","NIHOVCAR3_OVARY",-0.65412347453078,"PR300","ML210","ferrostatin-1",0.04115,10,0.569471552391466,0.999431006598551,0.85819910184371,-0.288727549452245
"3","NIHOVCAR3_OVARY",-0.65412347453078,"PR300","ML210","ferrostatin-1",0.1235,10,0.569471552391466,0.998479427259854,0.863773653591368,-0.294302101199902
"4","NIHOVCAR3_OVARY",-0.65412347453078,"PR300","ML210","ferrostatin-1",0.3704,10,0.569471552391466,0.995945336232942,0.869159213410907,-0.299687661019441
"5","NIHOVCAR3_OVARY",-0.65412347453078,"PR300","ML210","ferrostatin-1",1.111,10,0.569471552391466,0.989232767965279,0.874363248166718,-0.304891695775252
"6","NIHOVCAR3_OVARY",-0.65412347453078,"PR300","ML210","ferrostatin-1",10,10,0.569471552391466,0.927788573397347,0.884242363913585,-0.31477081152212
"7","NIHOVCAR3_OVARY",-0.65412347453078,"PR300","ML210","ferrostatin-1",3.333,10,0.569471552391466,0.971718510665452,0.879389830551629,-0.309918278160163
"8","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.395476316215774,"PR300","ML210","ferrostatin-1",0.01372,10,1,0.985034783668268,1,-0.0149652163317324
"9","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.395476316215774,"PR300","ML210","ferrostatin-1",0.04115,10,1,0.944678734263384,1,-0.0553212657366159
"10","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.395476316215774,"PR300","ML210","ferrostatin-1",0.1235,10,1,0.815722395880966,1,-0.184277604119034
"11","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.395476316215774,"PR300","ML210","ferrostatin-1",0.3704,10,1,0.534545631854838,1,-0.465454368145162
"12","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.395476316215774,"PR300","ML210","ferrostatin-1",1.111,10,1,0.229535625092728,0.999999999999926,-0.770464374907198
"13","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.395476316215774,"PR300","ML210","ferrostatin-1",10,10,1,0.0196433674770091,0.919138092639749,-0.89949472516274
"14","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.395476316215774,"PR300","ML210","ferrostatin-1",3.333,10,1,0.0717246117097982,0.999999919387044,-0.928275307677246
"15","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.754678430410133,"PR300","ML210","ferrostatin-1",0.01372,10,1,1,0.823471845407947,0
"16","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.754678430410133,"PR300","ML210","ferrostatin-1",0.04115,10,1,1,0.81980431810456,0
"17","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.754678430410133,"PR300","ML210","ferrostatin-1",0.1235,10,1,0.999999973860831,0.816075397212307,0
"18","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.754678430410133,"PR300","ML210","ferrostatin-1",0.3704,10,1,0.0439285251395072,0.812289324485694,-0.768360799346187
"19","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.754678430410133,"PR300","ML210","ferrostatin-1",1.111,10,1,5.50901352544381e-11,0.808443292224563,-0.808443292169473
"20","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.754678430410133,"PR300","ML210","ferrostatin-1",10,10,1,7.85186677365275e-29,0.800569879625626,-0.800569879625626
"21","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.754678430410133,"PR300","ML210","ferrostatin-1",3.333,10,1,6.58308537966561e-20,0.804536775300978,-0.804536775300978
"22","LS513_LARGE_INTESTINE",-0.183017515451772,"PR500","ML210","ferrostatin-1",0.01372,10,0.814531053739823,1,0.886348993430126,-0.071817939690303
"23","LS513_LARGE_INTESTINE",-0.183017515451772,"PR500","ML210","ferrostatin-1",0.04115,10,0.814531053739823,1,0.999969473590715,-0.185438419850892
