ccle_name,DepMap_ID,pert1,pert2,dose1,dose2,capped_library,capped_anchor,capped_combination,library,anchor,combination,S,LS,BLISS.NULL,HSA.NULL,XPR_GPX4,antagonism_count_across_doses
143B_BONE,ACH-001001,ML210,ferrostatin-1,0.01372,10,1,0.84134631717256,0.761028851188108,1.15708710775446,0.84134631717256,0.761028851188108,0.0803174659844514,0.144748620199523,0.84134631717256,0.84134631717256,-0.71179180437251,0
143B_BONE,ACH-001001,ML210,ferrostatin-1,0.04115,10,0.932748756212186,0.84134631717256,0.948497149423402,0.932748756212186,0.84134631717256,0.948497149423402,-0.107150832250842,-0.172943669181575,0.784764730886408,0.84134631717256,-0.71179180437251,0
143B_BONE,ACH-001001,ML210,ferrostatin-1,0.1235,10,1,0.84134631717256,1,1.14024074346562,0.84134631717256,1.05421968741378,-0.15865368282744,-0.249228326245472,0.84134631717256,0.84134631717256,-0.71179180437251,0
143B_BONE,ACH-001001,ML210,ferrostatin-1,0.3704,10,0.687498356958028,0.84134631717256,0.97198612875313,0.687498356958028,0.84134631717256,0.97198612875313,-0.284487771795102,-0.499579459574691,0.578424210688822,0.687498356958028,-0.71179180437251,0
143B_BONE,ACH-001001,ML210,ferrostatin-1,1.111,10,0.466177798202563,0.84134631717256,0.829058145364643,0.466177798202563,0.84134631717256,0.829058145364643,-0.36288034716208,-0.830592990087989,0.392216973665339,0.466177798202563,-0.71179180437251,0
143B_BONE,ACH-001001,ML210,ferrostatin-1,10,10,0.36803650502605,0.84134631717256,1,0.36803650502605,0.84134631717256,1.02195848763122,-0.63196349497395,-1.44207922260494,0.309646158088728,0.36803650502605,-0.71179180437251,0
143B_BONE,ACH-001001,ML210,ferrostatin-1,3.333,10,0.276698661283042,0.84134631717256,0.86637114402493,0.276698661283042,0.84134631717256,0.86637114402493,-0.589672482741888,-1.6466695283652,0.232799399637065,0.276698661283042,-0.71179180437251,0
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,0.01372,10,1,1,0.99993302614802,1.02291971031308,1.02310828284006,0.99993302614802,6.69738519802898e-05,9.66260798677001e-05,1,1,NA,0
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,0.04115,10,1,1,0.826615454484181,1.35419463702647,1.02310828284006,0.826615454484181,0.173384545515819,0.274711758153785,1,1,NA,0
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,0.1235,10,0.95019242207112,1,0.894343084449945,0.95019242207112,1.02310828284006,0.894343084449945,0.0558493376211743,0.0873913223765727,0.95019242207112,0.95019242207112,NA,0
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,0.3704,10,0.680429179350908,1,0.882032785330074,0.680429179350908,1.02310828284006,0.882032785330074,-0.201603605979166,-0.374387271541471,0.680429179350908,0.680429179350908,NA,0
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,1.111,10,0.116442970766168,1,0.70466622207686,0.116442970766168,1.02310828284006,0.70466622207686,-0.588223251310692,-2.59731650867387,0.116442970766168,0.116442970766168,NA,0
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,10,10,0.150125715671127,1,0.579909435238838,0.150125715671127,1.02310828284006,0.579909435238838,-0.429783719567712,-1.94965648790458,0.150125715671127,0.150125715671127,NA,0
1618K_TESTIS,ACH-001437,ML210,ferrostatin-1,3.333,10,0.143020768253286,1,1,0.143020768253286,1.02310828284006,1.02996587212868,-0.856979231746714,-2.80570343683134,0.143020768253286,0.143020768253286,NA,0
1777NRPMET_TESTIS,ACH-001438,ML210,ferrostatin-1,0.01372,10,1,0.694265083070245,0.708988351701619,1.13493492402062,0.694265083070245,0.708988351701619,-0.0147232686313734,-0.030275309684138,0.694265083070245,0.694265083070245,NA,0
1777NRPMET_TESTIS,ACH-001438,ML210,ferrostatin-1,0.04115,10,1,0.694265083070245,0.694237178017473,1.23249514865503,0.694265083070245,0.694237178017473,2.79050527723923e-05,5.79883553438743e-05,0.694265083070245,0.694265083070245,NA,0
1777NRPMET_TESTIS,ACH-001438,ML210,ferrostatin-1,0.1235,10,1,0.694265083070245,1,1.07780575164805,0.694265083070245,1.18792374892183,-0.305734916929755,-0.52644147961779,0.694265083070245,0.694265083070245,NA,0
1777NRPMET_TESTIS,ACH-001438,ML210,ferrostatin-1,0.3704,10,1,0.694265083070245,1,1.34891939390181,0.694265083070245,1.45654464355576,-0.305734916929755,-0.52644147961779,0.694265083070245,0.694265083070245,NA,0
1777NRPMET_TESTIS,ACH-001438,ML210,ferrostatin-1,1.111,10,1,0.694265083070245,1,1.21303281220674,0.694265083070245,1.23226844246176,-0.305734916929755,-0.52644147961779,0.694265083070245,0.694265083070245,NA,0
1777NRPMET_TESTIS,ACH-001438,ML210,ferrostatin-1,10,10,1,0.694265083070245,1,1.25263104403885,0.694265083070245,1.1673956928088,-0.305734916929755,-0.52644147961779,0.694265083070245,0.694265083070245,NA,0
1777NRPMET_TESTIS,ACH-001438,ML210,ferrostatin-1,3.333,10,1,0.694265083070245,1,1.00057350553591,0.694265083070245,1.02998403493929,-0.305734916929755,-0.52644147961779,0.694265083070245,0.694265083070245,NA,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,0.01372,10,0.8029418503991,0.97088651796023,1,0.8029418503991,0.97088651796023,1.22680465793528,-0.1970581496009,-0.316632584328506,0.779565417258526,0.8029418503991,-1.46714586814976,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,0.04115,10,1,0.97088651796023,0.985400215651225,1.34556666491641,0.97088651796023,0.985400215651225,-0.0145136976909951,-0.0214071112437994,0.97088651796023,0.97088651796023,-1.46714586814976,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,0.1235,10,0.947928254594783,0.97088651796023,0.973043093435759,0.947928254594783,0.97088651796023,0.973043093435759,-0.0251148388409762,-0.0377258287996375,0.920330762379647,0.947928254594783,-1.46714586814976,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,0.3704,10,0.726452177102298,0.97088651796023,0.796837476836581,0.726452177102298,0.97088651796023,0.796837476836581,-0.0703852997342831,-0.133417674516542,0.705302624691478,0.726452177102298,-1.46714586814976,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,1.111,10,0.443574169888996,0.97088651796023,0.801109353592946,0.443574169888996,0.97088651796023,0.801109353592946,-0.35753518370395,-0.852823830596781,0.430660181260627,0.443574169888996,-1.46714586814976,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,10,10,0.495285277079524,0.97088651796023,0.589111988879662,0.495285277079524,0.97088651796023,0.589111988879662,-0.0938267118001387,-0.250282177394996,0.480865798060706,0.495285277079524,-1.46714586814976,0
22RV1_PROSTATE,ACH-000956,ML210,ferrostatin-1,3.333,10,0.887782422694894,0.97088651796023,0.921880586045059,0.887782422694894,0.97088651796023,0.921880586045059,-0.0340981633501649,-0.054373741282232,0.861935985076542,0.887782422694894,-1.46714586814976,0
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,0.01372,10,1,1,1,1.02891453653834,1.508607658134,1.76720204102321,0,0,1,1,0.2848912184671,1
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,0.04115,10,0.544734674365943,1,1,0.544734674365943,1.508607658134,1.3108192892913,-0.455265325634057,-0.876374391939526,0.544734674365943,0.544734674365943,0.2848912184671,1
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,0.1235,10,1,1,0.561548092436942,1.27655350710457,1.508607658134,0.561548092436942,0.438451907563058,0.832518510820457,1,1,0.2848912184671,1
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,0.3704,10,0.829090896669141,1,1,0.829090896669141,1.508607658134,1.22521113880263,-0.170909103330859,-0.270397815862308,0.829090896669141,0.829090896669141,0.2848912184671,1
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,1.111,10,1,1,0.882164418087141,1.23617288407526,1.508607658134,0.882164418087141,0.117835581912859,0.180880524079181,1,1,0.2848912184671,1
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,10,10,0.838371108883825,1,1,0.838371108883825,1.508607658134,1.16548586814266,-0.161628891116175,-0.25433909388534,0.838371108883825,0.838371108883825,0.2848912184671,1
2313287_STOMACH,ACH-000948,ML210,ferrostatin-1,3.333,10,0.475224618867081,1,0.876446236783137,0.475224618867081,1.508607658134,0.876446236783137,-0.401221617916055,-0.883056019032181,0.475224618867081,0.475224618867081,0.2848912184671,1
