x,rho,beta,p.val,n,ns,feature.set,feature,q.val,y,detected_count,neg_log10_qval
EXP_DNPEP,-0.177952950602721,-0.0386025109957598,8.01095080006463e-06,622,37,EXP,DNPEP,0.0912723971639337,temozolomide::O6-benzylguanine::0.1372::5,2,1.03966054307786
EXP_RUFY1,-0.175423236923744,-0.0398898225761511,1.08046637660768e-05,622,40,EXP,RUFY1,0.0912723971639337,temozolomide::O6-benzylguanine::0.1372::5,3,1.03966054307786
REP_SCH-900776,-0.181582285849448,-0.0251450249587008,0.000280950321635666,396,27,REP,SCH-900776,0.0973492864467583,temozolomide::O6-benzylguanine::0.1372::5,6,1.01166722743487
REP_GSK189254,0.159177370485283,0.0438489859810338,6.95937732748189e-05,619,23,REP,GSK189254,0.096456969758899,temozolomide::O6-benzylguanine::0.1372::5,4,1.01566638576537
REP_CBL0137,0.152211096650352,0.00717257300589601,0.000143831077298532,619,25,REP,CBL0137,0.0973492864467583,temozolomide::O6-benzylguanine::0.1372::5,7,1.01166722743487
REP_CHC,0.146079917849231,0.0408716109599425,0.000265671695509581,619,20,REP,CHC,0.0973492864467583,temozolomide::O6-benzylguanine::0.1372::5,6,1.01166722743487
XPR_IGF2BP3,-0.205707495357217,-0.288383593333677,3.76529336765458e-06,497,34,XPR,IGF2BP3,0.0553046289841104,temozolomide::O6-benzylguanine::0.4115::5,3,1.25723851683055
REP_XL888,-0.198897715183805,-0.0237976856791336,4.21650276674244e-05,418,41,REP,XL888,0.0012434197520649,temozolomide::O6-benzylguanine::1.235::5,7,2.90538223802572
REP_METOPROLOL,-0.123142626757381,-0.0425100980298176,0.0117450050080555,418,15,REP,METOPROLOL,0.0601674708857513,temozolomide::O6-benzylguanine::1.235::5,4,1.22063824350996
REP_MONENSIN,-0.14786181799085,-0.0189157416706637,0.00246981437604336,417,25,REP,MONENSIN,0.0201362513246829,temozolomide::O6-benzylguanine::1.235::5,6,1.69602137690736
REP_PROSCILLARIDIN-A,-0.190946678518316,-0.0256292166854493,8.55031233008538e-05,418,40,REP,PROSCILLARIDIN-A,0.00211557519231833,temozolomide::O6-benzylguanine::1.235::5,6,2.67457153425205
REP_LORAZEPAM,-0.14099895129645,-0.038143823752468,0.00451898308301631,404,19,REP,LORAZEPAM,0.0311178884890921,temozolomide::O6-benzylguanine::1.235::5,6,1.50698987982654
