pool_id,cell_line_display_name,ERBB2 expression,ERBB2 status
P111,22RV1,4.694880193,other
P117,2313287,5.743353391,other
P104,253J,4.154615611,other
P104,253JBV,4.508428653,other
P102,42MGBA,4.034743949,other
P107,5637,5.435628594,other
P104,639V,5.436628267,other
P101,647V,5.857980995,other
P118,769P,3.716990894,other
P104,786O,3.689299161,other
P118,8305C,4.053980168,other
P107,8505C,5.030777472,other
P105,8MGBA,4.475733431,other
P103,A101D,4.154615611,other
P105,A172,5.338780944,other
P102,A2058,4.753818443,other
P101,A2780,5.358607249,other
P102,A375,4.505255801,other
P107,A549,4.207111961,other
P109,A673,3.961623328,other
P108,A704,3.232660757,other
P113,ABC1,5.944624223,other
P102,ACCMESO1,3.201633861,other
P110,ACHN,5.019701914,other
P101,AGS,6.224773478,other
P108,AN3CA,5.204375511,other
P120,ASPC1,5.581953751,other
P105,BC3C,4.699884729,other
P116,BCPAP,4.938756261,other
P103,BECKER,2.922197848,other
P106,BEN,2.61117238,other
P109,BFTC905,4.842476063,other
P102,BFTC909,2.914564523,other
P103,BHT101,1.316145742,other
P118,BICR16,5.708463165,other
P119,BICR31,7.194658374,other
P117,BICR56,4.430954271,other
P119,BICR6,4.267535798,other
P119,BT474,10.52258153,overexpressing
P119,BT549,4.132576843,other
P104,BXPC3,5.025471815,other
P103,CADOES1,3.032100843,other
P103,CAKI1,4.09423607,other
P110,CAL120,4.581351247,other
P101,CAL12T,5.407012774,other
P105,CAL27,4.667892125,other
P107,CAL29,5.789729251,other
P110,CAL51,6.332886917,other
P101,CAL54,5.541328977,other
P101,CAL62,5.170726276,other
P120,CAL78,3.821710215,other
P106,CALU1,4.860962798,other
P113,CALU6,3.061776198,other
P113,CAMA1,6.182890893,other
P119,CAOV3,4.639232163,other
P120,CAPAN2,6.218781168,other
P119,CCFSTTG1,2.523561956,other
P110,CFPAC1,5.732540561,other
P104,NA,NA,other
P109,CJM,4.791814071,other
P115,CL34,6.333602628,other
P103,COLO668,3.264536431,other
P108,COLO679,2.50589093,other
P119,COLO680N,6.3675458,other
P116,COLO741,4.481557281,other
P109,COLO783,4.086613947,other
P115,COLO792,5.27686883,other
P117,COLO800,5.00270252,other
P112,CORL105,4.95930649,other
P107,CORL23,4.932155684,other
P120,COV362,4.016139703,other
P119,COV434,4.762348816,other
P114,DANG,4.963011648,other
P102,DAOY,3.503348735,other
P106,DBTRG05MG,4.77925972,other
P116,DETROIT562,4.238022518,other
P119,DKMG,5.385085854,other
P101,DMS273,1.811471031,other
P109,NA,NA,other
P111,DV90,5.230741003,other
P113,EBC1,5.187451054,other
P110,ECGI10,6.183288001,other
P115,EFM192A,11.44024629,overexpressing
P116,EFO21,4.828834649,other
P102,EFO27,5.276496666,other
P112,EN,6.116031993,other
P101,ES2,1.618238656,other
P105,ESS1,4.900625333,other
P116,EWS502,3.885574364,other
P105,FADU,5.758089934,other
P102,FTC133,5.431957188,other
P104,FTC238,4.51412226,other
P108,G292CLONEA141B1,4.209453366,other
P101,G361,4.675251386,other
P108,G401,4.944858446,other
P103,G402,5.622051819,other
P111,GAMG,4.034743949,other
P107,GB1,4.700994494,other
P105,NA,NA,other
P112,GCT,3.263034406,other
P111,GI1,4.855989697,other
P114,GOS3,5.565597176,other
P118,GP2D,6.768184325,other
P104,H4,4.63691458,other
P101,HA1E,5.43162296,other
P111,HARA,4.867402306,other
P116,HCC1143,5.087887101,other
P112,HCC1195,7.235918488,other
P106,HCC1359,4.165911939,other
P115,HCC1419,11.60987129,overexpressing
P117,HCC1428,5.385085854,other
P109,HCC1438,5.54225805,other
P110,HCC15,3.924099886,other
P115,HCC1806,5.000901403,other
P120,HCC1937,5.645298164,other
P117,HCC38,7.12763328,other
P106,HCC4006,5.682011391,other
P104,HCC44,2.3305584,other
P102,HCC515,5.068670811,other
P113,HCC56,5.319401167,other
P109,HCC78,5.9502351,other
P107,HCC827,5.054848477,other
P112,HCC95,5.395748328,other
P104,HCT116,4.757023247,other
P104,HCT15,5.967168608,other
P116,HDQP1,5.47118746,other
P116,HEC108,6.347488497,other
P113,HEC151,4.650764559,other
P107,HEC1A,6.374517881,other
P103,HEC1B,6.462379572,other
P117,HEC251,5.889716892,other
P109,HEC265,5.344118335,other
P115,HEC59,5.714245518,other
P118,HEC6,5.64587455,other
P113,HEP3B217,5.145269857,other
P101,HEYA8,3.588564737,other
P101,HGC27,5.01658546,other
P101,HLF,4.534808661,other
P101,HMC18,3.714795011,other
P113,HOS,4.344828497,other
P104,HPAC,5.787902559,other
P110,HS294T,5.414135533,other
P115,HS729,5.002252452,other
P108,HS766T,4.201633861,other
P114,HS852T,4.575312331,other
P114,HS939T,4.659924558,other
P105,HS944T,4.088311236,other
P109,HSC2,3.800123353,other
P112,HSC3,4,other
P102,HT1080,4.250961574,other
P117,HT1376,5.349082146,other
P111,HT144,4.727920455,other
P104,HT29,5.861211003,other
P113,HT55,5.564073256,other
P113,HUCCT1,3.016139703,other
P120,HUH28,4.631686366,other
P114,HUH6,4.509695842,other
P109,HUH7,4.828326926,other
P117,HUPT3,5.305970521,other
P119,IALM,5.790511412,other
P102,IGR1,4.265286858,other
P102,IGR37,4.139142019,other
P104,IGROV1,6.083638879,other
P118,IM95,6.182890893,other
P118,IPC298,3.580145484,other
P101,ISHIKAWAHERAKLIO02ER,6.147917191,other
P120,ISTMES1,4.60940039,other
P112,ISTMES2,4.455491621,other
P108,J82,4.553974808,other
P111,JHH1,6.116239979,other
P108,JHH4,5.744161096,other
P109,JHH5,4.777156666,other
P102,JHH6,3.956985925,other
P118,JHH7,6.265099288,other
P102,JHOC5,6.219942914,other
P116,JHOM1,5.464994927,other
P114,JHOS2,4.744161096,other
P106,JHUEM2,5.433293326,other
P111,JIMT1,8.457134594,other
P110,JMSU1,4.649040566,other
P112,K029AX,4.137503524,other
P117,KALS1,4.117695043,other
P103,KELLY,0.82374936,other
P104,KMBC2,6.660922914,other
P106,KMRC1,2.952333566,other
P110,KMRC20,4.942983598,other
P115,KMRC3,5.517275693,other
P117,KNS42,5.132576843,other
P112,KNS60,4.475084883,other
P109,KNS62,4.04701482,other
