,T-DM1,Trastuzumab-MMAE
22RV1_PROSTATE,1,0.935795733
2313287_STOMACH,0.972088448,0.694605329
253J_URINARY_TRACT,1,0.963040625
253JBV_URINARY_TRACT,1,0.969076847
42MGBA_CENTRAL_NERVOUS_SYSTEM,0.946322422,0.863802405
5637_URINARY_TRACT,0.903764756,0.518966433
639V_URINARY_TRACT,0.983121746,0.605536542
647V_URINARY_TRACT,0.94782904,0.804190975
769P_KIDNEY,0.968435077,1
786O_KIDNEY,0.938075466,0.957240618
8305C_THYROID,0.997745898,0.89659796
8505C_THYROID,0.963070765,0.930637533
8MGBA_CENTRAL_NERVOUS_SYSTEM,0.995078766,NA
A101D_SKIN,0.994246278,0.842912211
A172_CENTRAL_NERVOUS_SYSTEM,0.959366479,0.76541793
A2058_SKIN,0.967591545,0.88115942
A2780_OVARY,0.931465098,0.789970343
A375_SKIN,0.953240895,0.83226427
A549_LUNG,0.997460905,0.955415639
A673_BONE,1,0.989865056
A704_KIDNEY,0.869380222,0.91321341
ABC1_LUNG,0.952082398,0.941982245
ACCMESO1_PLEURA,0.885640775,0.780679874
ACHN_KIDNEY,NA,0.971614821
AGS_STOMACH,0.884921062,0.636530216
AN3CA_ENDOMETRIUM,0.964663155,0.89805864
ASPC1_PANCREAS,0.91689195,0.832478313
BC3C_URINARY_TRACT,0.986243633,0.868299338
BCPAP_THYROID,0.953054131,0.872588335
BECKER_CENTRAL_NERVOUS_SYSTEM,0.990342516,0.719118514
BEN_LUNG,0.994181447,0.999988972
BFTC905_URINARY_TRACT,0.901388848,0.846893125
BFTC909_KIDNEY,0.908661477,0.860578948
BHT101_THYROID,0.928962369,0.844833966
BICR16_UPPER_AERODIGESTIVE_TRACT,0.912363731,0.685122987
BICR31_UPPER_AERODIGESTIVE_TRACT,0.911607675,0.66746039
BICR56_UPPER_AERODIGESTIVE_TRACT,0.954224844,0.906958858
BICR6_UPPER_AERODIGESTIVE_TRACT,0.990000139,0.894124688
BT474_BREAST,0.855096925,0.836569798
BT549_BREAST,0.877438172,0.617913051
BXPC3_PANCREAS,1,0.856535943
CADOES1_BONE,0.9079225,0.953074947
CAKI1_KIDNEY,0.953773696,0.919800817
CAL120_BREAST,1,0.87205132
CAL12T_LUNG,0.8726859,0.787035405
CAL27_UPPER_AERODIGESTIVE_TRACT,0.96989575,0.886907538
CAL29_URINARY_TRACT,0.913287021,0.673564399
CAL51_BREAST,1,0.998824982
CAL54_KIDNEY,0.891951781,0.863565361
CAL62_THYROID,1,0.837311161
CAL78_BONE,0.924600101,0.912694113
CALU1_LUNG,0.997016301,0.844301002
CALU6_LUNG,0.988590073,0.622240245
CAMA1_BREAST,0.976252436,0.872512025
CAOV3_OVARY,0.947737996,0.863203029
CAPAN2_PANCREAS,0.768371287,0.620316173
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,0.89009505,0.787766605
CFPAC1_PANCREAS,0.876083123,0.830659895
CHL1_SKIN,0.856619238,0.761173252
CJM_SKIN,0.964618314,0.891113571
CL34_LARGE_INTESTINE,0.908173099,0.635291119
COLO668_LUNG,0.908904977,0.934335041
COLO679_SKIN,1,0.938490943
COLO680N_OESOPHAGUS,0.94599787,0.830978595
COLO741_SKIN,0.875468027,0.924495129
COLO783_SKIN,0.982623396,0.788181504
COLO792_SKIN,0.997709701,0.954683575
COLO800_SKIN,0.960990394,0.950280085
CORL105_LUNG,0.895512983,0.873390821
CORL23_LUNG,1,0.770116113
COV362_OVARY,1,0.84483565
COV434_OVARY,1,0.875277488
DANG_PANCREAS,0.881043963,0.684042572
DAOY_CENTRAL_NERVOUS_SYSTEM,0.910190153,0.862186933
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,0.965168257,0.921646045
DETROIT562_UPPER_AERODIGESTIVE_TRACT,0.974829198,0.877951566
DKMG_CENTRAL_NERVOUS_SYSTEM,0.856471486,0.875458491
DMS273_LUNG,0.857935261,0.816938657
DU145_PROSTATE,0.959665311,0.860985448
DV90_LUNG,0.9354677,0.935996471
EBC1_LUNG,0.927993861,0.716858368
ECGI10_OESOPHAGUS,1,0.687792167
EFM192A_BREAST,0.294638571,0.264382736
EFO21_OVARY,1,0.998724349
EFO27_OVARY,0.995879683,0.878486929
EN_ENDOMETRIUM,0.931963367,0.86708704
ES2_OVARY,0.987025977,0.931141179
ESS1_ENDOMETRIUM,0.990000009,0.965471686
EWS502_BONE,0.961846163,0.971418701
FADU_UPPER_AERODIGESTIVE_TRACT,0.952177911,0.812284427
FTC133_THYROID,0.955981069,0.795848352
FTC238_THYROID,0.902899604,0.845598641
G292CLONEA141B1_BONE,0.987749172,0.647137169
G361_SKIN,0.835634188,0.781919195
G401_SOFT_TISSUE,0.994461507,0.983387296
G402_SOFT_TISSUE,1,0.913582345
GAMG_CENTRAL_NERVOUS_SYSTEM,1,0.877391146
GB1_CENTRAL_NERVOUS_SYSTEM,1,1
GCIY_STOMACH,1,0.932428283
GCT_SOFT_TISSUE,1,0.925573713
GI1_CENTRAL_NERVOUS_SYSTEM,1,0.923780696
GOS3_CENTRAL_NERVOUS_SYSTEM,0.940809889,0.935691864
GP2D_LARGE_INTESTINE,0.897420438,0.848825356
H4_CENTRAL_NERVOUS_SYSTEM,0.990330122,0.983805275
HA1E_KIDNEY,0.913030571,0.950329872
HARA_LUNG,1,0.93821864
HCC1143_BREAST,1,0.794673423
HCC1195_LUNG,0.872052427,0.684148807
HCC1359_LUNG,0.923275076,0.883176381
HCC1419_BREAST,0.844382854,NA
HCC1428_BREAST,0.866195664,0.696587262
HCC1438_LUNG,0.932078623,0.569836048
HCC15_LUNG,0.937516202,0.976992657
HCC1806_BREAST,0.895618102,0.650950195
HCC1937_BREAST,0.852788682,0.884720839
HCC38_BREAST,0.75668987,0.307606801
HCC4006_LUNG,0.995520088,0.952389057
HCC44_LUNG,0.984021433,0.760899986
HCC515_LUNG,0.876461652,0.621731056
HCC56_LARGE_INTESTINE,0.936564621,0.94719193
HCC78_LUNG,0.973912242,0.802650825
HCC827_LUNG,0.948872365,0.902528146
HCC95_LUNG,0.961025681,0.88786354
HCT116_LARGE_INTESTINE,0.994322342,0.939422964
HCT15_LARGE_INTESTINE,0.906957146,1
HDQP1_BREAST,0.938458005,0.767763461
HEC108_ENDOMETRIUM,0.99952747,0.941778696
HEC151_ENDOMETRIUM,0.917905033,0.802029933
HEC1A_ENDOMETRIUM,0.947531364,0.852756391
HEC1B_ENDOMETRIUM,0.99477585,0.841901922
HEC251_ENDOMETRIUM,0.897858385,0.762251241
HEC265_ENDOMETRIUM,0.992706362,1
HEC59_ENDOMETRIUM,0.988419605,0.842828069
HEC6_ENDOMETRIUM,0.863769297,0.709902077
HEP3B217_LIVER,0.902012912,0.825042171
HEYA8_OVARY,0.994565327,0.854992064
HGC27_STOMACH,0.883237676,0.809625225
HLF_LIVER,1,0.988786642
HMC18_BREAST,0.947685598,0.943249132
HOS_BONE,NA,0.924788058
HPAC_PANCREAS,0.950683026,0.716275166
HS294T_SKIN,0.91502542,0.877814901
HS729_SOFT_TISSUE,1,0.942452124
HS766T_PANCREAS,0.991695101,0.99000001
HS852T_SKIN,1,1
HS939T_SKIN,0.939363055,0.945592057
HS944T_SKIN,0.927937159,0.753265022
HSC2_UPPER_AERODIGESTIVE_TRACT,0.948367005,0.850703183
HSC3_UPPER_AERODIGESTIVE_TRACT,1,0.892350333
HT1080_SOFT_TISSUE,1,0.677293884
HT1376_URINARY_TRACT,0.982207107,0.869604041
HT144_SKIN,0.919001488,0.840953819
HT29_LARGE_INTESTINE,0.916232527,0.720335301
HT55_LARGE_INTESTINE,0.903601422,0.956432649
HUCCT1_BILIARY_TRACT,1,0.900770073
HUH28_BILIARY_TRACT,0.921825596,0.827011267
HUH6_LIVER,0.773128204,0.698878772
HUH7_LIVER,0.862229083,0.794316063
HUPT3_PANCREAS,0.95641223,0.915044079
IALM_LUNG,0.855883599,0.991371494
IGR1_SKIN,1,0.985654744
IGR37_SKIN,1,0.97338156
IGROV1_OVARY,1,0.542265696
IM95_STOMACH,0.990000293,0.596137634
IPC298_SKIN,0.94241445,0.938545805
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,0.893560671,0.7622842
ISTMES1_PLEURA,1,0.927425556
ISTMES2_PLEURA,0.92278971,0.922510088
J82_URINARY_TRACT,1,0.807009292
JHH1_LIVER,0.927019577,0.904453303
JHH4_LIVER,0.884911873,0.898807128
JHH5_LIVER,0.932179619,0.902438686
JHH6_LIVER,0.911932573,0.990208005
JHH7_LIVER,0.994049894,0.881180532
JHOC5_OVARY,0.920501717,0.91153644
JHOM1_OVARY,0.872597025,0.676338462
JHOS2_OVARY,0.921627062,0.864346171
JHUEM2_ENDOMETRIUM,0.994623872,0.912778665
JIMT1_BREAST,0.893356847,0.580283925
JMSU1_URINARY_TRACT,0.835707694,0.72314587
K029AX_SKIN,0.99686571,0.925344849
KALS1_CENTRAL_NERVOUS_SYSTEM,0.990125843,0.97973158
KELLY_AUTONOMIC_GANGLIA,0.804134862,0.918325986
KMBC2_URINARY_TRACT,0.987552742,0.632677091
KMRC1_KIDNEY,1,1
KMRC20_KIDNEY,0.989998667,1
KMRC3_KIDNEY,0.990962694,1
KNS42_CENTRAL_NERVOUS_SYSTEM,1,0.932196958
KNS60_CENTRAL_NERVOUS_SYSTEM,0.859822167,0.631562284
KNS62_LUNG,0.803513295,0.775378409
KNS81_CENTRAL_NERVOUS_SYSTEM,0.943763109,0.920989069
KP2_PANCREAS,0.83535972,0.642149327
KP3_PANCREAS,0.946098678,0.952566131
KP4_PANCREAS,1,0.893555112
KU1919_URINARY_TRACT,0.975602355,0.718571372
KURAMOCHI_OVARY,0.999802437,0.912135362
KYSE140_OESOPHAGUS,1,1
KYSE150_OESOPHAGUS,0.942660158,0.872897024
KYSE180_OESOPHAGUS,0.956611803,0.891812666
KYSE270_OESOPHAGUS,0.916687267,0.795378706
KYSE30_OESOPHAGUS,0.958684501,0.888406132
KYSE410_OESOPHAGUS,0.846012653,0.295952688
KYSE510_OESOPHAGUS,0.947640774,0.713709067
KYSE520_OESOPHAGUS,1,0.976040237
KYSE70_OESOPHAGUS,1,0.861264309
L33_PANCREAS,0.891723379,0.691430526
LC1SQSF_LUNG,0.912368553,0.743190084
LCLC103H_LUNG,0.966753787,0.823996461
LI7_LIVER,0.861242588,0.793067187
LK2_LUNG,0.955188056,0.870638362
LMSU_STOMACH,0.996741291,0.927911875
LN18_CENTRAL_NERVOUS_SYSTEM,0.961726953,0.947359041
LN229_CENTRAL_NERVOUS_SYSTEM,NA,0.990000042
LNCAPCLONEFGC_PROSTATE,0.981000562,0.947138074
LOUNH91_LUNG,0.84147159,0.831694108
LOVO_LARGE_INTESTINE,0.863464338,0.793497333
LOXIMVI_SKIN,0.957171014,0.87213572
LS1034_LARGE_INTESTINE,1,1
LS180_LARGE_INTESTINE,0.942899641,0.921927237
LS411N_LARGE_INTESTINE,0.931374379,0.76255344
LS513_LARGE_INTESTINE,0.905497897,0.78584637
LU99_LUNG,0.923100919,0.831931407
LUDLU1_LUNG,0.942939303,0.728584138
LXF289_LUNG,0.937793593,0.98896257
MALME3M_SKIN,0.994417289,0.787841598
MCAS_OVARY,1,0.906459032
MCF7_BREAST,NA,0.928559183
MDAMB175VII_BREAST,0.701118822,0.542580983
MDAMB231_BREAST,1,0.933563224
MDAMB435S_SKIN,0.894289298,0.703372131
MDAMB436_BREAST,1,0.829683673
MDAMB468_BREAST,0.97979484,0.847699136
MELHO_SKIN,0.878285421,0.864799126
MELJUSO_SKIN,NA,0.833552833
MESSA_SOFT_TISSUE,1,0.991572312
MEWO_SKIN,0.949899344,0.828609112
MFE280_ENDOMETRIUM,0.853388567,0.659306426
MFE296_ENDOMETRIUM,0.918360653,0.973331874
MFE319_ENDOMETRIUM,0.896663943,0.710479468
MG63_BONE,0.991133138,0.974214033
MHHES1_BONE,1,1
MIAPACA2_PANCREAS,0.917707226,0.693113819
MKN1_STOMACH,1,0.810924173
MKN45_STOMACH,0.963043358,0.905902854
MKN7_STOMACH,0.849573716,0.408816657
MKN74_STOMACH,1,0.901413932
MON_SOFT_TISSUE,0.882611797,0.776516912
MPP89_PLEURA,1,1
MSTO211H_PLEURA,1,0.975242236
NB1_AUTONOMIC_GANGLIA,0.959025211,0.875390128
NCIH1048_LUNG,0.855861192,0.683729961
NCIH1299_LUNG,0.999952998,0.966451271
NCIH1339_LUNG,0.990039625,0.933230287
NCIH1355_LUNG,0.957532417,0.92328202
NCIH1373_LUNG,1,0.938957468
NCIH1435_LUNG,1,1
NCIH1437_LUNG,0.974157838,0.865715661
NCIH1563_LUNG,1,0.954835398
NCIH1568_LUNG,1,0.982049873
NCIH1573_LUNG,0.92491463,0.957880346
NCIH1581_LUNG,0.851896674,0.629671783
NCIH1623_LUNG,0.869215344,0.8974151
NCIH1648_LUNG,0.947507352,0.705966991
NCIH1650_LUNG,0.934274402,0.774612138
NCIH1651_LUNG,NA,0.974859434
NCIH1693_LUNG,0.978751741,0.983458272
NCIH1703_LUNG,0.984069506,0.650225787
NCIH1792_LUNG,0.912156505,0.748007164
NCIH1793_LUNG,1,0.835303433
NCIH1838_LUNG,0.92112011,0.9262586
NCIH1915_LUNG,0.942084486,0.830368263
NCIH1944_LUNG,0.965863906,0.977587215
NCIH1975_LUNG,1,0.8894978
NCIH2009_LUNG,0.906403344,0.797229361
NCIH2023_LUNG,0.934468507,0.673442313
NCIH2030_LUNG,1,0.725045512
NCIH2052_PLEURA,0.964597593,0.631151438
NCIH2077_LUNG,0.789040271,0.475865522
NCIH2087_LUNG,0.941771448,0.726049646
NCIH2110_LUNG,0.893472836,0.785080012
NCIH2122_LUNG,0.988020579,0.888356526
NCIH2126_LUNG,0.819962289,0.737873008
NCIH2170_LUNG,0.353375969,0.245286521
NCIH2172_LUNG,0.976937879,0.872045997
NCIH2228_LUNG,0.9154382,0.783202269
NCIH226_LUNG,0.985264067,0.902450098
NCIH23_LUNG,1,0.892052825
NCIH2347_LUNG,0.89695377,0.701318704
NCIH2444_LUNG,1,0.81463949
NCIH2452_PLEURA,1,1
NCIH28_PLEURA,1,0.976944785
NCIH292_LUNG,0.86377016,0.887386267
NCIH322_LUNG,0.972106651,0.887507703
NCIH358_LUNG,0.968659163,0.913764259
NCIH446_LUNG,1,0.94205275
NCIH460_LUNG,0.949304105,0.906663029
NCIH520_LUNG,0.939119849,0.851181867
NCIH522_LUNG,0.816643969,0.546950332
NCIH596_LUNG,0.945472282,0.977935586
NCIH650_LUNG,0.981966611,0.895910269
NCIH661_LUNG,0.946759998,0.647262848
NCIH727_LUNG,0.98479275,1
NCIH747_LARGE_INTESTINE,0.789443528,0.749221836
NCIH838_LUNG,1,0.810666699
NCIH841_LUNG,1,0.824730376
