feature,coef,qval
GE_PGAP3,-0.565319308,35.69976041
GE_MIEN1,-0.531561385,30.63522032
GE_ERBB2,-0.51886584,28.94531767
GE_TCAP,-0.398010688,14.7326497
GE_LYZL4,-0.381166841,13.25213852
GE_ODF4,-0.376062267,12.8709983
GE_PNMT,-0.374504071,12.79903961
GE_GRB7,-0.340396117,9.999028592
GE_CEACAM18,-0.338898596,9.932471287
GE_ZNF683,-0.324635829,8.888678281
GE_GSTT4,-0.321102044,8.668824013
GE_IKZF3,-0.314985567,8.262461525
GE_SIGLEC12,-0.314448485,8.25870586
GE_SCGB2A2,-0.313901283,8.251726676
GE_BCAS1,-0.304609886,7.628893507
GE_ZPBP2,-0.303521088,7.581922276
GE_STARD3,-0.299207886,7.314199335
GE_CAPN9,-0.292290473,6.877534481
GE_CCDC83,-0.291757738,6.865986955
GE_LYZL2,-0.291248914,6.854874929
GE_BPIFB1,-0.288633624,6.705498879
GE_IYD,-0.285022572,6.493062418
GE_MEPE,-0.283488805,6.414556937
GE_MUC5B,-0.278177245,6.098897987
GE_CLEC3A,-0.276330094,6.002083089
GE_MMEL1,-0.270950383,5.69035186
GE_TIAF1,-0.268931653,5.585221177
GE_SCGB1D2,-0.262564011,5.224253778
GE_GDPD3,-0.262242192,5.220714966
GE_H4C7,-0.259369008,5.06889591
GE_PLA2G4F,-0.259082994,5.06666712
GE_RNF223,-0.254426239,4.815084164
GE_PLA2G10,-0.25366773,4.785716753
GE_EPN3,-0.251878849,4.704695885
GE_SPTSSB,-0.251765208,4.704695885
GE_ZBTB42,-0.25011076,4.624953811
GE_CATSPERB,-0.249054878,4.578493366
GE_CPSF4L,-0.248610958,4.565618357
GE_ALDH3B2,-0.248078439,4.547622973
GE_LCT,-0.247016922,4.500459651
GE_MSN,0.245887737,4.449609949
GE_STARD10,-0.245678587,4.448703671
GE_VSIG2,-0.245419185,4.444833207
GE_HAPLN4,-0.244042966,4.380332285
GE_ACSL4,0.242254883,4.308024778
GE_CNGB3,-0.242164431,4.308024778
GE_MYH4,-0.242382858,4.308024778
GE_SRARP,-0.24189532,4.302773971
GE_TFF1,-0.240089458,4.215575898
GE_ECT2L,-0.23887064,4.159885052
GE_OR2AP1,-0.238637004,4.156167541
GE_RECQL,0.238287005,4.146172011
GE_TMEM45B,-0.237736807,4.125532311
GE_VSTM5,-0.237469944,4.11965226
GE_SIDT1,-0.236519538,4.077903517
GE_EMP3,0.235737949,4.044999653
GE_FA2H,-0.233943027,3.967241158
GE_PLA2G2A,-0.234080407,3.967241158
GE_SPDEF,-0.233607076,3.957341772
GE_TMPRSS4,-0.23257596,3.911634131
GE_TMEM238,-0.232426413,3.911145314
GE_MS4A18,-0.232220025,3.907633932
GE_P2RX2,-0.231616155,3.885610931
GE_KLRF2,-0.231519564,3.885610931
GE_OTOR,-0.231283821,3.880317362
GE_TSKU,-0.231148907,3.880070737
GE_TC2N,-0.23096022,3.876990332
GE_IKBIP,0.229168593,3.792571582
GE_RAPGEFL1,-0.228933899,3.787065155
GE_OVOL2,-0.228210871,3.756897278
GE_DERL2,0.22758101,3.749404352
GE_ACTA1,-0.227596411,3.749404352
GE_EIF4A1,0.227654563,3.749404352
GE_HID1,-0.227747642,3.749404352
GE_LRRC26,-0.22665872,3.709087651
GE_PRR15,-0.225753132,3.675395746
GE_SLC29A3,-0.225791077,3.675395746
GE_CNN3,0.225460994,3.672016114
GE_ANXA9,-0.225505061,3.672016114
GE_PPP1R18,0.224690183,3.639271822
GE_TCF24,-0.224458292,3.633199091
GE_CCSER1,-0.224214347,3.626477251
GE_S100P,-0.224071038,3.624668478
GE_CEACAM6,-0.223924256,3.622630107
GE_SLC9A2,-0.223382814,3.601107095
GE_PPP1R1B,-0.223248914,3.599603204
GE_ATP2A3,-0.222805721,3.582862626
GE_CDS1,-0.22202443,3.549572283
GE_RBBP8NL,-0.221845385,3.54935141
GE_ZAN,-0.221721814,3.54935141
GE_GLYATL3,-0.221767186,3.54935141
GE_ARL11,-0.220841316,3.511213029
GE_RASEF,-0.22015026,3.482373065
GE_S100A14,-0.219933375,3.476515408
GE_PRR15L,-0.219236614,3.44744277
GE_C9orf152,-0.218665725,3.42448601
GE_ANKRD22,-0.218398149,3.416120496
GE_ATP2C2,-0.217519527,3.386611801
GE_ESR1,-0.217506922,3.386611801
GE_BSPRY,-0.217516002,3.386611801
GE_TRAPPC1,0.21730045,3.385336587
GE_FER1L6,-0.217304817,3.385336587
GE_CAPN8,-0.217200346,3.384789207
GE_ESRP2,-0.216949209,3.37699219
GE_C6orf132,-0.216410054,3.355448597
GE_GCOM1,-0.216307474,3.354682959
GE_TTC9,-0.216206254,3.353945711
GE_TOB1,-0.215848521,3.340986321
GE_AGR2,-0.215526928,3.329731558
GE_ARSH,-0.214686687,3.293943365
GE_SLC27A2,-0.214027138,3.266779295
GE_FOXA1,-0.213397128,3.241063519
GE_ANKFY1,0.213020313,3.227255898
GE_FFAR4,-0.212835013,3.222405604
GE_BICDL2,-0.212730079,3.221288453
GE_GSTA3,-0.212579141,3.217990146
GE_FAM83E,-0.211236641,3.162857273
GE_CISH,-0.211298038,3.162857273
GE_PLEKHG6,-0.210498485,3.136279922
GE_SLC44A4,-0.210464874,3.136279922
GE_RNASEK,0.210428125,3.136279922
GE_LIX1L,0.210070538,3.123324023
GE_RAP1GAP,-0.209675463,3.112155602
GE_FAM47E,-0.209730335,3.112155602
GE_DCBLD2,0.20925843,3.096438078
GE_UBE2G1,0.208740231,3.076087547
GE_CRABP1,-0.208451775,3.066292132
GE_CDK12,-0.208075043,3.052449244
GE_SYK,-0.20734209,3.022360076
GE_MYORG,-0.207166723,3.01772355
GE_MZB1,-0.20679476,3.004126491
GE_PWWP2B,-0.205986199,2.970743714
GE_SPACA4,-0.205832836,2.967079466
GE_PHF23,0.205754736,2.966799414
GE_TMEM35B,0.205108984,2.940866666
GE_ALOX15,-0.204256327,2.90570745
GE_CEP170,0.20417605,2.905285414
GE_ERC1,0.204071,2.904257837
GE_KIRREL1,0.204012851,2.904257837
GE_MAGEA8,-0.203405799,2.880187721
GE_H3.3A,-0.203317758,2.879343104
GE_NECTIN4,-0.20324772,2.879282688
GE_FCN1,-0.202901616,2.866880474
GE_MS4A14,-0.202788449,2.864860881
GE_CAPN13,-0.202357956,2.850799152
GE_JUP,-0.202338113,2.850799152
GE_MARVELD1,0.202209683,2.848053165
GE_TMEM30B,-0.201876766,2.83621182
GE_MYH14,-0.201539761,2.824193851
GE_PLAAT2,-0.201368969,2.819535611
GE_FAM126A,0.201190724,2.817401452
GE_TCEAL9,0.201222765,2.817401452
GE_ELK3,0.20063365,2.79847574
GE_SLC40A1,-0.200694588,2.79847574
GE_LNX1,-0.200415784,2.794476212
GE_DOK7,-0.200456083,2.794476212
GE_TMEM63A,-0.200307465,2.792480466
GE_CORO1C,0.20016297,2.788877815
GE_TM6SF2,-0.199586815,2.766303278
GE_TWF1,0.199398949,2.760787595
GE_SULT2B1,-0.199276498,2.758127733
GE_TJP3,-0.199102581,2.75320155
GE_FXYD3,-0.198946285,2.749036067
GE_ZNF462,0.198790564,2.744884661
GE_TSPAN15,-0.19862585,2.740329738
GE_CYB5D2,0.198496338,2.737300737
GE_LLGL2,-0.198300872,2.737058702
GE_RIPK3,-0.198365293,2.737058702
GE_HSD11B2,-0.198253662,2.737058702
GE_CKMT1A,-0.198341764,2.737058702
GE_UROD,0.198040743,2.730331289
GE_SMARCD2,-0.197890585,2.728123313
GE_WIPF2,-0.197873961,2.728123313
GE_ZNF296,-0.197530984,2.718208743
GE_ZNF552,-0.197534661,2.718208743
GE_NCMAP,-0.197428426,2.716230961
GE_KLHL29,0.197187138,2.708225447
GE_IGSF9,-0.197023258,2.706003993
GE_ERP27,-0.197076417,2.706003993
GE_SCYL3,-0.196871408,2.701848727
GE_CEACAM5,-0.19675685,2.699298037
GE_TSPAN1,-0.196012038,2.66953375
GE_ANO6,0.195786998,2.662221137
GE_CCDC88A,0.195629695,2.659587971
GE_APOBEC3C,0.195616083,2.659587971
GE_KDF1,-0.195357536,2.650816994
GE_DEPDC1,0.195010582,2.64000893
GE_ECHDC1,0.194997429,2.64000893
GE_RAB11FIP4,-0.194585178,2.635996807
GE_SLC38A2,0.194627548,2.635996807
GE_TBX10,-0.194706819,2.635996807
GE_MYO18A,-0.194757746,2.635996807
GE_SH3BGRL2,-0.194620239,2.635996807
GE_ACAD11,0.194619702,2.635996807
GE_SMIM5,-0.194457854,2.632784112
GE_NAP1L1,0.194396781,2.632394741
GE_CKMT1B,-0.194326604,2.631605873
GE_SVOPL,-0.194222258,2.631535471
