feature,coef,log10(q.val)
GE_ERBB2,-0.529325697,30.50278519
GE_PGAP3,-0.503593498,27.07398741
GE_MIEN1,-0.461841552,21.83372914
GE_PNMT,-0.400262013,15.24287576
GE_TCAP,-0.399519919,15.24287576
GE_GRB7,-0.380037189,13.46902373
GE_STARD3,-0.368943362,12.53498377
GE_IKZF3,-0.334379573,9.713328086
GE_TMEM30B,-0.311324337,8.034579264
GE_TMPRSS4,-0.300918421,7.347183018
GE_VSIG2,-0.296599723,7.130564282
GE_RNF223,-0.296781353,7.130564282
GE_IFFO1,0.295385403,7.083040233
GE_EPN3,-0.29487242,7.080580003
GE_PLA2G10,-0.289515642,6.752877457
GE_GRHL2,-0.286503686,6.583078146
GE_OVOL2,-0.285485444,6.543058275
GE_PLEKHG6,-0.282921121,6.425453326
GE_ZBTB42,-0.282956239,6.425453326
GE_ZPBP2,-0.282037081,6.390924152
GE_ESRP2,-0.278774606,6.220092111
GE_C6orf132,-0.27870641,6.220092111
GE_IKBIP,0.278226028,6.209021356
GE_ARHGAP8,-0.277620771,6.189316049
GE_FGD3,-0.27552347,6.082448769
GE_BICDL2,-0.275100472,6.082448769
GE_CNGB3,-0.275138262,6.082448769
GE_MYH14,-0.27264593,5.961128404
GE_STX2,0.272706525,5.961128404
GE_LIX1L,0.271869288,5.927960923
GE_TC2N,-0.270746428,5.873229232
GE_BPIFB1,-0.269633094,5.832306379
GE_TACSTD2,-0.269647364,5.832306379
GE_RBBP8NL,-0.26878802,5.793806101
GE_PRRG2,-0.268162015,5.768386251
GE_TRAPPC1,0.265616324,5.627060466
GE_EMP3,0.264994057,5.601668471
GE_ODF4,-0.263072529,5.498702523
GE_ST3GAL3,0.262861291,5.497446776
GE_STXBP1,0.262440975,5.483529546
GE_KCNK5,-0.262220372,5.48119551
GE_RAPGEFL1,-0.26105698,5.422995958
GE_VSTM5,-0.260220155,5.384030654
GE_ABCB1,0.260028853,5.38279526
GE_CRYBG2,-0.259700559,5.373322061
GE_EPHA1,-0.259174784,5.36146013
GE_TMEM238,-0.25922782,5.36146013
GE_KDF1,-0.259005959,5.360745035
GE_MSN,0.258756385,5.355138901
GE_IVL,-0.258376341,5.341769095
GE_BCAS1,-0.25796258,5.326301214
GE_SVOPL,-0.257664448,5.317418364
GE_PRSS22,-0.257264856,5.302515971
GE_ESRP1,-0.257067238,5.299187179
GE_EPS8L1,-0.256915161,5.298353754
GE_ANKRD22,-0.256339165,5.279141404
GE_OVOL1,-0.256314273,5.279141404
GE_IRF6,-0.254485501,5.188978328
GE_PRR15,-0.254582852,5.188978328
GE_IQANK1,-0.254199307,5.179897329
GE_ST14,-0.253686893,5.157797849
GE_CD99L2,0.253178347,5.135865686
GE_DTX4,-0.252414718,5.099395237
GE_HCAR1,-0.251841962,5.073761064
GE_LYPD3,-0.251259333,5.047542617
GE_LSR,-0.250588473,5.01633302
GE_SAT2,0.250431862,5.014045855
GE_MARVELD3,-0.249763026,4.989227705
GE_CYB5D2,0.24980859,4.989227705
GE_BSPRY,-0.249544879,4.983238891
GE_SPTSSB,-0.249169728,4.968380554
GE_RAB25,-0.24776518,4.913791851
GE_B3GAT3,0.247780233,4.913791851
GE_CDS1,-0.247914983,4.913791851
GE_S100A14,-0.247872283,4.913791851
GE_ERP27,-0.247506423,4.91083114
GE_TMEM125,-0.247607969,4.91083114
GE_NOTCH3,-0.247001675,4.888411051
GE_PRSS8,-0.246574736,4.872309618
GE_RNASEK,0.246512576,4.872309618
GE_MPP1,0.246092786,4.8544935
GE_JUP,-0.245984268,4.85382897
