feature,coef,qval
shRNA_ERBB2,0.481608584,17.33859386
shRNA_PIK3CA,0.368220066,8.338349829
shRNA_CDC37,0.340707443,6.720122897
shRNA_TMEM55B,0.338756614,3.71149773
shRNA_AP3S1,0.307396308,2.940038903
shRNA_NAA35,0.359556156,2.247907585
shRNA_TRA2B,0.245950728,2.226717513
shRNA_C2orf76,0.858267725,2.025433718
shRNA_CSTF2,0.251555878,2.025433718
shRNA_ERBB3,0.236336987,2.025433718
shRNA_TUBAL3,0.344677786,2.025433718
shRNA_SCGB1D2,0.339960118,1.970327564
shRNA_LSM12,0.336141036,1.928997808
shRNA_FOXA1,0.230382728,1.928997808
shRNA_PRIM2,0.229175284,1.928997808
shRNA_TFB2M,0.265874226,1.928997808
shRNA_ZFAND1,0.333489785,1.928997808
shRNA_TRDN,0.322101926,1.652177371
shRNA_PLEKHH2,0.231697305,1.55979749
shRNA_RPS20,0.316903609,1.55979749
shRNA_ATAD3A,0.229078153,1.507039873
shRNA_SFI1,-0.321824415,1.507039873
shRNA_PDILT,0.24869989,1.495923407
shRNA_LPXN,-0.245887887,1.425350841
shRNA_CENPI,0.307897241,1.423348478
shRNA_MSX2,0.207334289,1.31434668
shRNA_SDF2,0.221857642,1.31434668
shRNA_BANF1,0.301529351,1.312073072
shRNA_RCC2,0.300808922,1.309387732
shRNA_CDC27,0.216357254,1.225279376
shRNA_IFNAR2,0.234841862,1.196717486
shRNA_KIF18A,0.213556622,1.194156824
shRNA_LMO7,-0.201177129,1.190892168
shRNA_VPS52,0.29212493,1.190892168
shRNA_TUSC3,-0.232596221,1.190892168
shRNA_GINS4,0.212974355,1.190892168
shRNA_PRICKLE3,0.291215848,1.180945395
shRNA_OMA1,-0.211578967,1.172697746
shRNA_EFEMP2,0.228847884,1.12675967
shRNA_OTULIN,0.287520768,1.12675967
shRNA_MYZAP,0.280783983,1.09965537
shRNA_SSX2IP,-0.283364525,1.09965537
shRNA_PRUNE2,0.285411598,1.09965537
shRNA_FNDC9,0.283313521,1.09965537
shRNA_NRARP,0.280928911,1.09965537
shRNA_CCDC73,-0.281709986,1.09965537
shRNA_RTCB,0.223693157,1.09965537
shRNA_PRIM1,0.207950778,1.09965537
shRNA_ZC4H2,0.284572452,1.09965537
shRNA_KMT2C,0.192916559,1.09965537
shRNA_RPA1,0.192539569,1.09965537
shRNA_B3GALT1,0.224636225,1.09965537
shRNA_ORMDL3,0.28277269,1.09965537
shRNA_SNAP91,0.285171926,1.09965537
shRNA_CDKN2AIP,-0.279810346,1.08519709
shRNA_KDM1A,0.191019877,1.083384393
shRNA_SSU72,0.278953145,1.081031998
shRNA_ADGRG5,0.219502254,1.023022314
shRNA_ADD3,0.274605134,1.01620098
shRNA_DUSP15,-0.187704072,1.01620098
shRNA_TIMMDC1,0.27454693,1.01620098
shRNA_NECAB1,0.218222603,1.01620098
shRNA_PEX3,-0.217975489,1.01620098
shRNA_CALR3,0.217203382,1.001540669
shRNA_LCA5,0.271517474,0.976663615
shRNA_MRPL32,0.271705088,0.976663615
shRNA_MRPL35,0.270045493,0.95692339
shRNA_RPA2,0.184889351,0.95692339
shRNA_OPN1MW,0.183168578,0.921075603
shRNA_RPS6KB1,0.183380705,0.921075603
shRNA_MRPS5,0.267569563,0.921075603
shRNA_DARS2,-0.26716943,0.918374966
shRNA_HIGD2A,-0.217906092,0.91599913
shRNA_PUF60,0.181158793,0.91599913
shRNA_TMEM2,-0.264609613,0.91599913
shRNA_CNPY4,-0.193571551,0.91599913
shRNA_MAP4,0.264746226,0.91599913
shRNA_TRMT61B,0.264582667,0.91599913
shRNA_DUSP22,0.181680026,0.91599913
shRNA_UROD,0.210141966,0.91599913
shRNA_MCM3AP,0.273759517,0.91599913
shRNA_KRT75,0.211026995,0.91599913
shRNA_KIF11,0.179119044,0.875118054
shRNA_SENP3.EIF4A1,0.178221567,0.857821742
shRNA_TRIM74,-0.178946647,0.857821742
shRNA_MKS1,0.260572062,0.857821742
shRNA_C2CD2L,-0.260873018,0.857821742
shRNA_CD99L2,0.260085039,0.852392129
shRNA_FGF21,0.206415323,0.85212078
shRNA_EIF4G2,0.187516291,0.833029775
shRNA_IK,0.176586808,0.833029775
shRNA_NDUFS7,0.176506013,0.833029775
shRNA_PCBP2,-0.204270188,0.833029775
shRNA_MRPL39,0.257199854,0.833029775
shRNA_RING1,0.176619347,0.833029775
shRNA_MEGF11,0.257609261,0.833029775
shRNA_GINS1,0.187062956,0.833029775
shRNA_TNRC6B,-0.25638922,0.82692168
shRNA_GTF3C5,0.207435545,0.82692168
shRNA_MTSS1,-0.203622207,0.82692168
shRNA_NDC80,0.255668296,0.818875935
shRNA_UTP14A,-0.254620963,0.818690836
shRNA_LSM14B,-0.255067586,0.818690836
shRNA_SLC38A9,0.254942883,0.818690836
shRNA_EIF2AK1,-0.173595913,0.818690836
shRNA_RPL19,-0.255397999,0.818690836
shRNA_RPS15,0.201860984,0.818690836
shRNA_GPBP1,0.254074581,0.818690836
shRNA_AURKB,0.173728248,0.818690836
shRNA_GATS,0.253173322,0.807748908
shRNA_EMC2,-0.253168265,0.807748908
shRNA_DMAC2,0.252508591,0.80168892
shRNA_TRPS1,0.172519472,0.80168892
shRNA_NTRK1,0.172362081,0.80083525
shRNA_DERL2,0.250980625,0.777929541
shRNA_YME1L1,0.171693578,0.775279248
shRNA_AURKAIP1,0.198889903,0.775279248
shRNA_EIF4A2,0.170561979,0.762567331
shRNA_MPND,0.248718546,0.746457638
shRNA_GTF2H2,0.169888767,0.741106842
shRNA_CAPN5,0.196689839,0.741106842
shRNA_ZNF236,0.197082383,0.741106842
shRNA_FAM189A2,0.247822707,0.741106842
shRNA_OR14C36,0.202635315,0.739510658
shRNA_LOC105370099,0.180294074,0.733249759
shRNA_TMOD3,0.195792244,0.728937576
shRNA_MARCH5,0.167973785,0.718837621
shRNA_CALHM3,-0.245549903,0.715914285
shRNA_NIM1K,-0.167606469,0.715914285
shRNA_UTF1,0.196952722,0.715914285
shRNA_CRYBB3,-0.245063155,0.714208523
shRNA_SET,-0.167130754,0.697840754
shRNA_TTI2,0.243616783,0.691817245
shRNA_KMT5A,0.175951996,0.690655347
shRNA_TRIM56,0.165144849,0.663895297
shRNA_PRDM5,0.164660445,0.653276715
shRNA_NLGN3,-0.16421313,0.652927588
shRNA_RPA3,0.164885922,0.652927588
shRNA_RREB1,0.164205889,0.652927588
shRNA_TSPYL2,0.240544173,0.652927588
shRNA_ADH1B,-0.164456249,0.651310642
shRNA_EDA,-0.16406656,0.651310642
shRNA_DZIP1L,-0.240136202,0.651310642
shRNA_NOS1,-0.163622529,0.651310642
shRNA_KMT2D,0.163765432,0.651310642
shRNA_CCR6,0.163288142,0.648711354
shRNA_ZNF436.AS1,0.238785058,0.648711354
shRNA_GSTA1,-0.173244825,0.648711354
shRNA_ALG5,-0.162570891,0.648711354
shRNA_KRT2,0.238830397,0.648711354
shRNA_LGSN,-0.163649093,0.648711354
shRNA_CLRN1,0.18935148,0.648711354
shRNA_POMC,0.188966151,0.644298316
shRNA_CORO7.PAM16,0.171694994,0.636594702
shRNA_MSRB2,0.187909153,0.624274761
shRNA_SPECC1L.ADORA2A,0.161460269,0.622466302
shRNA_GSTA2,0.170865031,0.615935178
shRNA_PPP1R1C,-0.186768824,0.612652037
shRNA_ESR1,0.160396429,0.612652037
shRNA_RFX5,-0.160722511,0.612652037
shRNA_FSCB,-0.235386652,0.612652037
shRNA_GFM1,-0.235071856,0.609743091
shRNA_DAPK3,0.160479933,0.603216447
shRNA_GJB3,0.160425359,0.603216447
shRNA_ZC3HC1,0.159895688,0.603216447
shRNA_MDM1,-0.185596578,0.598366113
shRNA_COL7A1,-0.158744465,0.584904505
shRNA_RUSC1,-0.239369709,0.584904505
shRNA_LINS1,0.23263719,0.584904505
shRNA_MRPL1,0.232421231,0.584904505
shRNA_IQGAP1,0.158763775,0.584904505
shRNA_TCL1B,-0.184390341,0.584904505
shRNA_ARL6IP4,0.232178785,0.582798538
shRNA_SLC25A3,0.184052194,0.581973477
shRNA_WFDC8,0.183651664,0.574955726
shRNA_MRPL57,0.231251945,0.572632287
shRNA_KLHL29,0.189187818,0.569641091
shRNA_RSBN1L,0.230707226,0.569641091
shRNA_NACAD,0.183090241,0.569641091
shRNA_NGEF,0.156741553,0.558342112
shRNA_WSB1,0.166758086,0.558342112
shRNA_HBZ,0.157690853,0.558342112
shRNA_AOAH,-0.181826137,0.558342112
shRNA_FBXO31,0.229577,0.558342112
shRNA_PHYKPL,0.166944842,0.558342112
shRNA_ZCCHC3,-0.1570781,0.558342112
shRNA_RIMKLB,-0.228431671,0.545721597
shRNA_PIK3R2,0.155574917,0.541447168
shRNA_AP1M2,0.227789227,0.538301226
shRNA_TSPAN3,-0.227030168,0.535456583
shRNA_OR56A1,-0.180133149,0.535456583
shRNA_CPNE5,0.22710719,0.535456583
shRNA_RGS13,-0.180089296,0.535456583
shRNA_ATAD3B,-0.164521764,0.535456583
shRNA_COX20,-0.184946591,0.526847849
shRNA_MOBP,-0.179314247,0.526847849
shRNA_SYNJ2BP,-0.226237869,0.526847849
shRNA_PLEKHA8,-0.22643258,0.526847849
shRNA_TMEM63B,0.163638676,0.523205804
shRNA_TNMD,0.225600679,0.523205804
shRNA_STRN,0.15393587,0.523205804
shRNA_KCNK6,0.155084303,0.518734817
shRNA_MIR200A,0.184089257,0.518458077
shRNA_CDCA7L,-0.178354781,0.517607458
shRNA_PRR14L,0.224665726,0.517401197
