Viability,Cells,pert_dose,pert_dose_units,sample,ratio,culture_type
1.497391,HCC1806,1,ug/mL,T-DM1,HCC1806 only,monoculture
0.4800614,NCIN87,1,ug/mL,T-DM1,NCIN87 only,monoculture
1.155642,NCIN87,1,ug/mL,T-DM1,1:01,coculture
1.5,HCC1806,1,ug/mL,T-DM1,1:01,coculture
1.097436,NCIN87,1,ug/mL,T-DM1,1:02,coculture
1.27592,HCC1806,1,ug/mL,T-DM1,1:02,coculture
1.475862,NCIN87,1,ug/mL,T-DM1,1:05,coculture
1.522523,HCC1806,1,ug/mL,T-DM1,1:05,coculture
0.9285714,NCIN87,1,ug/mL,T-DM1,1:20,coculture
1.439268,HCC1806,1,ug/mL,T-DM1,1:20,coculture
6.87477,HCC1806,0.111111111,ug/mL,T-DM1,HCC1806 only,monoculture
0.5727136,NCIN87,0.111111111,ug/mL,T-DM1,NCIN87 only,monoculture
1.488806,NCIN87,0.111111111,ug/mL,T-DM1,1:01,coculture
7.855095,HCC1806,0.111111111,ug/mL,T-DM1,1:01,coculture
1.639769,NCIN87,0.111111111,ug/mL,T-DM1,1:02,coculture
7.059616,HCC1806,0.111111111,ug/mL,T-DM1,1:02,coculture
2.078014,NCIN87,0.111111111,ug/mL,T-DM1,1:05,coculture
6.285714,HCC1806,0.111111111,ug/mL,T-DM1,1:05,coculture
1.102564,NCIN87,0.111111111,ug/mL,T-DM1,1:20,coculture
7.57404,HCC1806,0.111111111,ug/mL,T-DM1,1:20,coculture
4.378194,HCC1806,0.333333333,ug/mL,T-DM1,HCC1806 only,monoculture
0.5020408,NCIN87,0.333333333,ug/mL,T-DM1,NCIN87 only,monoculture
1.498457,NCIN87,0.333333333,ug/mL,T-DM1,1:01,coculture
4.483307,HCC1806,0.333333333,ug/mL,T-DM1,1:01,coculture
1.42439,NCIN87,0.333333333,ug/mL,T-DM1,1:02,coculture
4.106961,HCC1806,0.333333333,ug/mL,T-DM1,1:02,coculture
1.587629,NCIN87,0.333333333,ug/mL,T-DM1,1:05,coculture
4.042345,HCC1806,0.333333333,ug/mL,T-DM1,1:05,coculture
1.131148,NCIN87,0.333333333,ug/mL,T-DM1,1:20,coculture
4.091222,HCC1806,0.333333333,ug/mL,T-DM1,1:20,coculture
7.41879,HCC1806,0.037037037,ug/mL,T-DM1,HCC1806 only,monoculture
0.6460432,NCIN87,0.037037037,ug/mL,T-DM1,NCIN87 only,monoculture
1.38975,NCIN87,0.037037037,ug/mL,T-DM1,1:01,coculture
8.830159,HCC1806,0.037037037,ug/mL,T-DM1,1:01,coculture
1.946602,NCIN87,0.037037037,ug/mL,T-DM1,1:02,coculture
9.062691,HCC1806,0.037037037,ug/mL,T-DM1,1:02,coculture
1.961039,NCIN87,0.037037037,ug/mL,T-DM1,1:05,coculture
7.655986,HCC1806,0.037037037,ug/mL,T-DM1,1:05,coculture
1.290909,NCIN87,0.037037037,ug/mL,T-DM1,1:20,coculture
7.344086,HCC1806,0.037037037,ug/mL,T-DM1,1:20,coculture
6.453069,HCC1806,0.012345679,ug/mL,T-DM1,HCC1806 only,monoculture
0.7485119,NCIN87,0.012345679,ug/mL,T-DM1,NCIN87 only,monoculture
1.790668,NCIN87,0.012345679,ug/mL,T-DM1,1:01,coculture
9.267371,HCC1806,0.012345679,ug/mL,T-DM1,1:01,coculture
2.052342,NCIN87,0.012345679,ug/mL,T-DM1,1:02,coculture
8.482371,HCC1806,0.012345679,ug/mL,T-DM1,1:02,coculture
1.834254,NCIN87,0.012345679,ug/mL,T-DM1,1:05,coculture
6.998333,HCC1806,0.012345679,ug/mL,T-DM1,1:05,coculture
1.742857,NCIN87,0.012345679,ug/mL,T-DM1,1:20,coculture
7.333333,HCC1806,0.012345679,ug/mL,T-DM1,1:20,coculture
6.858569,HCC1806,0.001371742,ug/mL,T-DM1,HCC1806 only,monoculture
4.408633,NCIN87,0.001371742,ug/mL,T-DM1,NCIN87 only,monoculture
5.535433,NCIN87,0.001371742,ug/mL,T-DM1,1:01,coculture
9.932007,HCC1806,0.001371742,ug/mL,T-DM1,1:01,coculture
3.867168,NCIN87,0.001371742,ug/mL,T-DM1,1:02,coculture
7.784014,HCC1806,0.001371742,ug/mL,T-DM1,1:02,coculture
