Viability,Cells,pert_dose,pert_dose_units,sample,ratio,culture_type
0.5538194,HCC1806,0.5,ug/mL,T-MMAE,HCC1806 only,monoculture
0.5306122,NCIN87,0.5,ug/mL,T-MMAE,NCIN87 only,monoculture
0.9315436,NCIN87,0.5,ug/mL,T-MMAE,1:01,coculture
0.6689655,HCC1806,0.5,ug/mL,T-MMAE,1:01,coculture
0.9045346,NCIN87,0.5,ug/mL,T-MMAE,1:02,coculture
0.5888889,HCC1806,0.5,ug/mL,T-MMAE,1:02,coculture
0.8717949,NCIN87,0.5,ug/mL,T-MMAE,1:05,coculture
0.647351,HCC1806,0.5,ug/mL,T-MMAE,1:05,coculture
0.8214286,NCIN87,0.5,ug/mL,T-MMAE,1:20,coculture
0.5337079,HCC1806,0.5,ug/mL,T-MMAE,1:20,coculture
3.069847,HCC1806,0.055555556,ug/mL,T-MMAE,HCC1806 only,monoculture
0.5701754,NCIN87,0.055555556,ug/mL,T-MMAE,NCIN87 only,monoculture
1.063927,NCIN87,0.055555556,ug/mL,T-MMAE,1:01,coculture
1.19391,HCC1806,0.055555556,ug/mL,T-MMAE,1:01,coculture
1.12,NCIN87,0.055555556,ug/mL,T-MMAE,1:02,coculture
1.479381,HCC1806,0.055555556,ug/mL,T-MMAE,1:02,coculture
1.22905,NCIN87,0.055555556,ug/mL,T-MMAE,1:05,coculture
1.671642,HCC1806,0.055555556,ug/mL,T-MMAE,1:05,coculture
1.380952,NCIN87,0.055555556,ug/mL,T-MMAE,1:20,coculture
2.360259,HCC1806,0.055555556,ug/mL,T-MMAE,1:20,coculture
1.295626,HCC1806,0.166666667,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6036866,NCIN87,0.166666667,ug/mL,T-MMAE,NCIN87 only,monoculture
0.9705882,NCIN87,0.166666667,ug/mL,T-MMAE,1:01,coculture
0.9356436,HCC1806,0.166666667,ug/mL,T-MMAE,1:01,coculture
1.06846,NCIN87,0.166666667,ug/mL,T-MMAE,1:02,coculture
1.073555,HCC1806,0.166666667,ug/mL,T-MMAE,1:02,coculture
0.9150943,NCIN87,0.166666667,ug/mL,T-MMAE,1:05,coculture
1.013491,HCC1806,0.166666667,ug/mL,T-MMAE,1:05,coculture
1.354839,NCIN87,0.166666667,ug/mL,T-MMAE,1:20,coculture
1.27065,HCC1806,0.166666667,ug/mL,T-MMAE,1:20,coculture
5.143836,HCC1806,0.018518519,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6018692,NCIN87,0.018518519,ug/mL,T-MMAE,NCIN87 only,monoculture
1.048148,NCIN87,0.018518519,ug/mL,T-MMAE,1:01,coculture
1.253012,HCC1806,0.018518519,ug/mL,T-MMAE,1:01,coculture
1.217391,NCIN87,0.018518519,ug/mL,T-MMAE,1:02,coculture
1.820513,HCC1806,0.018518519,ug/mL,T-MMAE,1:02,coculture
1.630573,NCIN87,0.018518519,ug/mL,T-MMAE,1:05,coculture
2.307551,HCC1806,0.018518519,ug/mL,T-MMAE,1:05,coculture
1.042553,NCIN87,0.018518519,ug/mL,T-MMAE,1:20,coculture
3.950704,HCC1806,0.018518519,ug/mL,T-MMAE,1:20,coculture
6.483929,HCC1806,0.00617284,ug/mL,T-MMAE,HCC1806 only,monoculture
0.5875,NCIN87,0.00617284,ug/mL,T-MMAE,NCIN87 only,monoculture
1.083333,NCIN87,0.00617284,ug/mL,T-MMAE,1:01,coculture
1.494774,HCC1806,0.00617284,ug/mL,T-MMAE,1:01,coculture
1.243499,NCIN87,0.00617284,ug/mL,T-MMAE,1:02,coculture
2.436455,HCC1806,0.00617284,ug/mL,T-MMAE,1:02,coculture
1.821192,NCIN87,0.00617284,ug/mL,T-MMAE,1:05,coculture
4.886633,HCC1806,0.00617284,ug/mL,T-MMAE,1:05,coculture
1.5,NCIN87,0.00617284,ug/mL,T-MMAE,1:20,coculture
7.316393,HCC1806,0.00617284,ug/mL,T-MMAE,1:20,coculture
6.963605,HCC1806,0.000685871,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6741214,NCIN87,0.000685871,ug/mL,T-MMAE,NCIN87 only,monoculture
1.20108,NCIN87,0.000685871,ug/mL,T-MMAE,1:01,coculture
1.935811,HCC1806,0.000685871,ug/mL,T-MMAE,1:01,coculture
1.369863,NCIN87,0.000685871,ug/mL,T-MMAE,1:02,coculture
3.44186,HCC1806,0.000685871,ug/mL,T-MMAE,1:02,coculture
1.95082,NCIN87,0.000685871,ug/mL,T-MMAE,1:05,coculture
5.128664,HCC1806,0.000685871,ug/mL,T-MMAE,1:05,coculture
1.205128,NCIN87,0.000685871,ug/mL,T-MMAE,1:20,coculture
7.117845,HCC1806,0.000685871,ug/mL,T-MMAE,1:20,coculture
6.865672,HCC1806,0.002057613,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6262976,NCIN87,0.002057613,ug/mL,T-MMAE,NCIN87 only,monoculture
1.053549,NCIN87,0.002057613,ug/mL,T-MMAE,1:01,coculture
1.419106,HCC1806,0.002057613,ug/mL,T-MMAE,1:01,coculture
1.267108,NCIN87,0.002057613,ug/mL,T-MMAE,1:02,coculture
2.188312,HCC1806,0.002057613,ug/mL,T-MMAE,1:02,coculture
2.014493,NCIN87,0.002057613,ug/mL,T-MMAE,1:05,coculture
5.390285,HCC1806,0.002057613,ug/mL,T-MMAE,1:05,coculture
1.030303,NCIN87,0.002057613,ug/mL,T-MMAE,1:20,coculture
6.744227,HCC1806,0.002057613,ug/mL,T-MMAE,1:20,coculture
6.885714,HCC1806,0.000228624,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6060172,NCIN87,0.000228624,ug/mL,T-MMAE,NCIN87 only,monoculture
1.159244,NCIN87,0.000228624,ug/mL,T-MMAE,1:01,coculture
2.145684,HCC1806,0.000228624,ug/mL,T-MMAE,1:01,coculture
1.574209,NCIN87,0.000228624,ug/mL,T-MMAE,1:02,coculture
3.455009,HCC1806,0.000228624,ug/mL,T-MMAE,1:02,coculture
2.234568,NCIN87,0.000228624,ug/mL,T-MMAE,1:05,coculture
5.768189,HCC1806,0.000228624,ug/mL,T-MMAE,1:05,coculture
1.484848,NCIN87,0.000228624,ug/mL,T-MMAE,1:20,coculture
7.46463,HCC1806,0.000228624,ug/mL,T-MMAE,1:20,coculture
0.5822148,HCC1806,0.5,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6631016,NCIN87,0.5,ug/mL,T-MMAE,NCIN87 only,monoculture
0.8208778,NCIN87,0.5,ug/mL,T-MMAE,1:01,coculture
0.560559,HCC1806,0.5,ug/mL,T-MMAE,1:01,coculture
0.7722096,NCIN87,0.5,ug/mL,T-MMAE,1:02,coculture
0.5844595,HCC1806,0.5,ug/mL,T-MMAE,1:02,coculture
0.8653846,NCIN87,0.5,ug/mL,T-MMAE,1:05,coculture
0.5799649,HCC1806,0.5,ug/mL,T-MMAE,1:05,coculture
0.9069768,NCIN87,0.5,ug/mL,T-MMAE,1:20,coculture
0.5877034,HCC1806,0.5,ug/mL,T-MMAE,1:20,coculture
3.422261,HCC1806,0.055555556,ug/mL,T-MMAE,HCC1806 only,monoculture
0.689769,NCIN87,0.055555556,ug/mL,T-MMAE,NCIN87 only,monoculture
1.076923,NCIN87,0.055555556,ug/mL,T-MMAE,1:01,coculture
1.07267,HCC1806,0.055555556,ug/mL,T-MMAE,1:01,coculture
1.02168,NCIN87,0.055555556,ug/mL,T-MMAE,1:02,coculture
1.24774,HCC1806,0.055555556,ug/mL,T-MMAE,1:02,coculture
1.23741,NCIN87,0.055555556,ug/mL,T-MMAE,1:05,coculture
1.652252,HCC1806,0.055555556,ug/mL,T-MMAE,1:05,coculture
0.8787879,NCIN87,0.055555556,ug/mL,T-MMAE,1:20,coculture
2.61302,HCC1806,0.055555556,ug/mL,T-MMAE,1:20,coculture
1.653214,HCC1806,0.166666667,ug/mL,T-MMAE,HCC1806 only,monoculture
0.6065292,NCIN87,0.166666667,ug/mL,T-MMAE,NCIN87 only,monoculture
1.036111,NCIN87,0.166666667,ug/mL,T-MMAE,1:01,coculture
