Viability,Cells,pert_dose,pert_dose_units,sample,ratio,culture_type
0.204238792,HCC1806,1,ug/mL,T-DM1,HCC1806 only,monoculture
0.079402723,NCIN87,1,ug/mL,T-DM1,NCIN87 only,monoculture
0.113774135,NCIN87,1,ug/mL,T-DM1,1:01,coculture
0.153742374,HCC1806,1,ug/mL,T-DM1,1:01,coculture
0.116036663,NCIN87,1,ug/mL,T-DM1,1:02,coculture
0.143576186,HCC1806,1,ug/mL,T-DM1,1:02,coculture
0.184034442,NCIN87,1,ug/mL,T-DM1,1:05,coculture
0.189477671,HCC1806,1,ug/mL,T-DM1,1:05,coculture
0.119351004,NCIN87,1,ug/mL,T-DM1,1:20,coculture
0.182468071,HCC1806,1,ug/mL,T-DM1,1:20,coculture
0.937694109,HCC1806,0.111111111,ug/mL,T-DM1,HCC1806 only,monoculture
0.094727507,NCIN87,0.111111111,ug/mL,T-DM1,NCIN87 only,monoculture
0.146574471,NCIN87,0.111111111,ug/mL,T-DM1,1:01,coculture
0.805107301,HCC1806,0.111111111,ug/mL,T-DM1,1:01,coculture
0.17337988,NCIN87,0.111111111,ug/mL,T-DM1,1:02,coculture
0.794401483,HCC1806,0.111111111,ug/mL,T-DM1,1:02,coculture
0.259120532,NCIN87,0.111111111,ug/mL,T-DM1,1:05,coculture
0.782255799,HCC1806,0.111111111,ug/mL,T-DM1,1:05,coculture
0.141714596,NCIN87,0.111111111,ug/mL,T-DM1,1:20,coculture
0.96022455,HCC1806,0.111111111,ug/mL,T-DM1,1:20,coculture
0.59717,HCC1806,0.3333333,ug/mL,T-DM1,HCC1806 only,monoculture
0.08303814,NCIN87,0.3333333,ug/mL,T-DM1,NCIN87 only,monoculture
0.1475246,NCIN87,0.3333333,ug/mL,T-DM1,1:01,coculture
0.4595162,HCC1806,0.3333333,ug/mL,T-DM1,1:01,coculture
0.1506069,NCIN87,0.3333333,ug/mL,T-DM1,1:02,coculture
0.4621464,HCC1806,0.3333333,ug/mL,T-DM1,1:02,coculture
0.1979714,NCIN87,0.3333333,ug/mL,T-DM1,1:05,coculture
0.503069,HCC1806,0.3333333,ug/mL,T-DM1,1:05,coculture
0.1453886,NCIN87,0.3333333,ug/mL,T-DM1,1:20,coculture
0.5186785,HCC1806,0.3333333,ug/mL,T-DM1,1:20,coculture
1.011896,HCC1806,0.03703704,ug/mL,T-DM1,HCC1806 only,monoculture
0.1068563,NCIN87,0.03703704,ug/mL,T-DM1,NCIN87 only,monoculture
0.1368223,NCIN87,0.03703704,ug/mL,T-DM1,1:01,coculture
0.9050464,HCC1806,0.03703704,ug/mL,T-DM1,1:01,coculture
0.2058227,NCIN87,0.03703704,ug/mL,T-DM1,1:02,coculture
1.019803,HCC1806,0.03703704,ug/mL,T-DM1,1:02,coculture
0.2445342,NCIN87,0.03703704,ug/mL,T-DM1,1:05,coculture
0.9527859,HCC1806,0.03703704,ug/mL,T-DM1,1:05,coculture
0.1659229,NCIN87,0.03703704,ug/mL,T-DM1,1:20,coculture
0.9310714,HCC1806,0.03703704,ug/mL,T-DM1,1:20,coculture
0.8801756,HCC1806,0.01234568,ug/mL,T-DM1,HCC1806 only,monoculture
0.1238048,NCIN87,0.01234568,ug/mL,T-DM1,NCIN87 only,monoculture
0.1762931,NCIN87,0.01234568,ug/mL,T-DM1,1:01,coculture
0.9498584,HCC1806,0.01234568,ug/mL,T-DM1,1:01,coculture
0.217003,NCIN87,0.01234568,ug/mL,T-DM1,1:02,coculture
0.9545007,HCC1806,0.01234568,ug/mL,T-DM1,1:02,coculture
0.2287246,NCIN87,0.01234568,ug/mL,T-DM1,1:05,coculture
0.8709411,HCC1806,0.01234568,ug/mL,T-DM1,1:05,coculture
0.2240126,NCIN87,0.01234568,ug/mL,T-DM1,1:20,coculture
0.9297081,HCC1806,0.01234568,ug/mL,T-DM1,1:20,coculture
0.9354844,HCC1806,0.001371742,ug/mL,T-DM1,HCC1806 only,monoculture
0.7291931,NCIN87,0.001371742,ug/mL,T-DM1,NCIN87 only,monoculture
