Viability,Cells,pert_dose,pert_dose_units,sample,ratio,culture_type
0.07553899,HCC1806,0.5,ug/mL,T-MMAE,HCC1806 only,monoculture
0.08776389,NCIN87,0.5,ug/mL,T-MMAE,NCIN87 only,monoculture
0.09171142,NCIN87,0.5,ug/mL,T-MMAE,1:01,coculture
0.06856556,HCC1806,0.5,ug/mL,T-MMAE,1:01,coculture
0.09564036,NCIN87,0.5,ug/mL,T-MMAE,1:02,coculture
0.06626624,HCC1806,0.5,ug/mL,T-MMAE,1:02,coculture
0.1087095,NCIN87,0.5,ug/mL,T-MMAE,1:05,coculture
0.0805627,HCC1806,0.5,ug/mL,T-MMAE,1:05,coculture
0.1055797,NCIN87,0.5,ug/mL,T-MMAE,1:20,coculture
0.06766262,HCC1806,0.5,ug/mL,T-MMAE,1:20,coculture
0.4187162,HCC1806,0.05555556,ug/mL,T-MMAE,HCC1806 only,monoculture
0.09430769,NCIN87,0.05555556,ug/mL,T-MMAE,NCIN87 only,monoculture
0.1047447,NCIN87,0.05555556,ug/mL,T-MMAE,1:01,coculture
0.1223697,HCC1806,0.05555556,ug/mL,T-MMAE,1:01,coculture
0.1184225,NCIN87,0.05555556,ug/mL,T-MMAE,1:02,coculture
0.1664712,HCC1806,0.05555556,ug/mL,T-MMAE,1:02,coculture
0.1532579,NCIN87,0.05555556,ug/mL,T-MMAE,1:05,coculture
0.2080355,HCC1806,0.05555556,ug/mL,T-MMAE,1:05,coculture
0.1774963,NCIN87,0.05555556,ug/mL,T-MMAE,1:20,coculture
0.2992298,HCC1806,0.05555556,ug/mL,T-MMAE,1:20,coculture
0.1767188,HCC1806,0.1666667,ug/mL,T-MMAE,HCC1806 only,monoculture
0.09985048,NCIN87,0.1666667,ug/mL,T-MMAE,NCIN87 only,monoculture
0.0955554,NCIN87,0.1666667,ug/mL,T-MMAE,1:01,coculture
0.09589871,HCC1806,0.1666667,ug/mL,T-MMAE,1:01,coculture
0.1129729,NCIN87,0.1666667,ug/mL,T-MMAE,1:02,coculture
0.1208045,HCC1806,0.1666667,ug/mL,T-MMAE,1:02,coculture
